,Investigator,Number of Studies,Top Condition,Top Condition Count
281,william tse,7,stage iiib lung cancer ajcc v8,2.0
282,antonio gasbarrini,7,ulcerative colitis,4.0
283,maurizio musso,7,diffuse large b-cell lymphoma,2.0
284,douglas j. weckstein,7,stage iiib lung cancer ajcc v8,2.0
285,giuseppe lombardi,7,glioblastoma,2.0
286,erika borlenghi,7,philadelphia-positive all,2.0
287,francesca bergamo,7,colorectal cancer,1.0
288,giulio metro,7,non small cell lung cancer,2.0
289,dante dallari,7,hip osteoarthritis,3.0
290,francesca bonifazi,7,stem cell transplant complications,3.0
291,giuseppe visani,7,philadelphia-positive all,2.0
292,sara bigliardi,7,follicular lymphoma,2.0
293,jacopo olivieri,7,"non-hodgkin lymphoma, b-cell",1.0
294,alessandro levis,7,diffuse large b-cell lymphoma,2.0
295,sharad a. ghamande,7,stage iiib lung cancer ajcc v8,2.0
296,emanuele cereda,7,gastroesophageal cancer,1.0
297,matthew l. ryan,7,breast cancer,1.0
298,vincenzo maria saraceni,7,chronic low back pain,2.0
299,alessandro bertolini,7,metastatic breast cancer,2.0
300,ester forastiere,7,cancer of kidney,1.0
301,kurt oettel,7,stage iiib lung cancer ajcc v8,2.0
302,davide rossi,7,chronic lymphocytic leukemia,3.0
303,maria r. tria tirona,7,stage iiib lung cancer ajcc v8,2.0
304,giuseppe tonini,7,solid tumors,2.0
305,giuseppe curigliano,7,solid tumors,2.0
306,libero ciuffreda,7,small cell lung cancer,1.0
307,toni ibrahim,7,ros1 gene translocation,1.0
308,giancarlo castaman,7,hemophilia b,2.0
309,daniele santini,7,neuroendocrine carcinoma,1.0
310,dario marino,7,diffuse large b-cell lymphoma,2.0
311,giovanna chidini,7,acute respiratory failure,4.0
312,tarek m. sabagh,7,stage iiib lung cancer ajcc v8,3.0
313,andrea gori,7,"colonization, asymptomatic",1.0
314,silvia marsoni,6,colorectal cancer,3.0
315,leon c. hwang,6,progesterone receptor negative,1.0
316,martin j. van den bent,6,brain and central nervous system tumors,6.0
317,marina mordenti,6,maffucci syndrome,1.0
318,massimo aglietta,6,ovarian cancer,1.0
319,francesco violi,6,venous thromboembolism,1.0
320,donald b. wender,6,stage iiib lung cancer ajcc v8,2.0
321,massimo mancone,6,percutaneous coronary intervention,2.0
322,terrence p. cescon,6,clinical stage iii hpv-mediated (p16-positive) oropharyngeal carcinoma ajcc v8,1.0
323,samer s. kasbari,6,stage iiib lung cancer ajcc v8,3.0
324,paolo brambilla,6,schizophrenia,2.0
325,elisabetta scarpa,6,follicular lymphoma,2.0
326,ashkan bahrani,6,her2/neu negative,1.0
327,giovanni marchegiani,6,postoperative complications,2.0
328,ester orlandi,6,head and neck cancer,2.0
329,nir peled,6,medullary thyroid cancer,2.0
330,giovanni landoni,6,cardiac surgery,2.0
331,gianmarco ghiggeri,6,nephrotic syndrome,4.0
332,roberto cairoli,6,acute myeloid leukemia,3.0
333,erica secchettin,6,pancreatic diseases,2.0
334,massimo gentile,6,chronic lymphocytic leukemia,2.0
335,gennaro daniele,6,ovarian cancer,2.0
336,gian paolo fadini,6,diabetes,2.0
337,nicola silvestris,6,locally advanced unresectable gastric cancer,1.0
338,dennis f. moore,6,stage iiib lung cancer ajcc v8,3.0
339,thomas langer,6,acid-base imbalance,3.0
340,pablo m ingelmo,6,laparoscopic cholecystectomy,2.0
341,alfredo budillon,6,breast cancer,1.0
342,enrico cerrato,6,coronary artery ectasia,1.0
343,incyte medical monitor,6,locally advanced solid tumors,1.0
344,manila boarini,6,osteogenesis imperfecta,1.0
345,maria chiara tisi,6,mantle cell lymphoma,2.0
346,marco rabusin,6,ewing sarcoma of bone,1.0
347,vittorio scaravilli,6,extracorporeal membrane oxygenation complication,2.0
348,giuseppe badalamenti,6,breast sarcoma,1.0
349,michele cimminiello,6,classical hodgkin lymphoma,1.0
350,stefano carugo,6,atrial fibrillation,1.0
351,franco mandelli,6,leukemia,4.0
352,salvatore pisconti,6,non small cell lung cancer patients,1.0
353,silvio danese,6,ulcerative colitis,3.0
354,chiara cremolini,6,colorectal cancer metastatic,2.0
355,simone biscaglia,6,coronary artery disease,3.0
356,giovanni scambia,6,ovarian cancer,2.0
357,paolo pedrazzoli,6,head and neck squamous cell carcinoma,1.0
358,enriqueta felip,6,non-small cell lung cancer metastatic,2.0
359,roberto foa,6,leukemia,5.0
360,luca andriolo,6,knee osteoarthritis,2.0
361,silvia bolis,6,follicular lymphoma,3.0
362,piotr rutkowski,6,melanoma,1.0
363,jean-yves blay,6,soft tissue sarcoma,2.0
364,sergio serni,6,bladder cancer,2.0
365,daniel almquist,6,prostate adenocarcinoma,2.0
366,rajiv jalan,6,liver cirrhosis,2.0
367,francesca patriarca,6,multiple myeloma,3.0
368,flavio ribichini,6,coronary artery disease,4.0
369,gabriele dell'era,6,heart failure,2.0
370,tyler y. kang,6,stage iiib lung cancer ajcc v8,2.0
371,laurent greillier,6,"nsclc, stage iii",1.0
372,alexander menter,6,stage iiib lung cancer ajcc v8,3.0
373,dino amadori,6,breast cancer,1.0
374,josep tabernero,6,colorectal cancer,2.0
375,paolo navalesi,6,acute respiratory failure,1.0
376,maria teresa voso,6,myelodysplastic syndromes,2.0
377,filippo graziani,6,periodontal diseases,3.0
378,antonio messina,6,weaning failure,1.0
379,william v. walsh,6,stage iiib lung cancer ajcc v8,3.0
380,marco contoli,6,asthma,2.0
381,stefano ferrari,6,osteosarcoma,3.0
382,domenico amoroso,6,metastatic breast cancer,3.0
383,massimo antonelli,6,blood pressure,1.0
384,michael schenker,6,neoplasm metastasis,2.0
385,jiri pumprla,6,ulcerative colitis,4.0
386,antonio russo,6,metastatic colon cancer,1.0
387,ruth ladenstein,6,neuroblastoma,3.0
388,caterina musolino,6,chronic myeloid leukemia,1.0
389,mario tiribelli,6,polycythemia vera,2.0
390,claudio franceschi,6,g20 - parkinson disease,3.0
391,rex b. mowat,6,stage iiib lung cancer ajcc v8,3.0
392,filippo de marinis,6,"carcinoma, non-small-cell lung",1.0
393,natalia maximova,6,hematopoietic stem cell transplantation,3.0
394,joseph sokhn,6,stage iiib lung cancer ajcc v8,3.0
395,stefano ghio,6,pulmonary arterial hypertension,4.0
396,caroline robert,6,melanoma,2.0
397,giorgina specchia,6,pregnancy,1.0
398,samuel n. ofori,6,stage iiib lung cancer ajcc v8,2.0
399,bohuslav melichar,6,solid tumors,1.0
400,francesco passamonti,6,myelofibrosis,2.0
401,giovanni vento,6,respiratory distress syndrome,3.0
402,ronald fogel,6,ulcerative colitis,4.0
403,giuseppe rossi,6,covid,1.0
404,darla liles,6,hemophilia b,2.0
405,ernesta audisio,6,acute myeloid leukemia,4.0
406,carmine pinto,6,metastatic colorectal cancer,2.0
407,marina cazzaniga,6,neoplasms by site,1.0
408,marta coscia,6,chronic lymphocytic leukemia,4.0
409,michele reni,6,pancreatic ductal adenocarcinoma,2.0
410,luca gianni,6,breast cancer,1.0
411,tiziano barbui,6,polycythemia vera,4.0
412,mei tang,6,stage iiib lung cancer ajcc v8,2.0
413,andrés ferreri,6,plasmablastic lymphoma,1.0
414,ticiana a. leal,6,stage iiib lung cancer ajcc v8,3.0
415,francesco lanza,6,hematological malignancies,1.0
416,jaroslaw kierkus,6,ulcerative colitis,2.0
417,enzo bonora,6,type 2 diabetes,1.0
418,icro meattini,6,breast cancer,4.0
419,valerio de stefano,6,hematologic neoplasm,1.0
420,samir narayan,6,prostate adenocarcinoma,2.0
421,carlo genova,6,nsclc,2.0
422,andrea patriarca,5,myelodysplastic syndromes,2.0
423,atul kumar,5,stage iiib lung cancer ajcc v8,3.0
424,timothy e. byun,5,stage iia non-small cell lung carcinoma ajcc v7,1.0
425,stefano bonarelli,5,"anesthesia, spinal",2.0
426,alexandra durr,5,friedreich ataxia,2.0
427,giovanni b forleo,5,implantable cardiac defibrillator,1.0
428,giacomo cavallaro,5,congenital diaphragmatic hernia,2.0
429,philip j. stella,5,stage iiib lung cancer ajcc v8,2.0
430,vanesa gregorc,5,respiratory tract diseases,1.0
431,pierfranco conte,5,breast cancer,2.0
432,claudio vernieri,5,breast cancer,3.0
433,christoph schliemann,5,soft tissue sarcoma,2.0
434,hui zhou,5,chronic lymphocytic leukemia,3.0
435,jean yves blay,5,ewing's sarcoma,1.0
436,michele caruso,5,metastatic breast cancer,2.0
437,monica crugnola,5,chronic myeloid leukemia,1.0
438,sergio siragusa,5,myelodysplastic syndromes,1.0
439,elena santagostino,5,hemophilia a,2.0
440,giuseppe sangiorgi,5,coronary artery disease,2.0
441,daniele generali,5,metastatic breast cancer,2.0
442,carlo garufi,5,cholangiocarcinoma,1.0
443,holger lode,5,neuroblastoma,3.0
444,riccardo bruna,5,classical hodgkin lymphoma,1.0
445,angelos koutras,5,neoplasm metastasis,2.0
446,stefano pepe,5,esophageal squamous cell carcinoma,1.0
447,arpad illes,5,chronic lymphocytic leukemia,2.0
448,andrea bonetti,5,hormone receptor positive breast cancer,1.0
449,stefano tamberi,5,"carcinoma, non-small-cell lung",1.0
450,roberto latini,5,atrial fibrillation,1.0
451,alessandro re,5,mantle cell lymphoma,2.0
452,simone cesaro,5,sickle cell disease,1.0
453,alessandro gasbarrini,5,chordoma,1.0
454,severine vermeire,5,ulcerative colitis,4.0
455,laurent brochard,5,ards,2.0
456,antonio curnis,5,sudden cardiac death,2.0
457,alessandro pulsoni,5,follicular lymphoma,2.0
458,gianluca villa,5,critical illness,4.0
459,mary p. gerrard,5,neuroblastoma,3.0
460,luis alejandro nevarez,5,obesity,3.0
461,franco valenza,5,disorder related to lung transplantation,2.0
462,emiliano tamburini,5,malignant neoplasms,1.0
463,janice a. kohler,5,neuroblastoma,3.0
464,rosa rita silva,5,metastatic breast cancer,2.0
465,isabella capodanno,5,chronic myeloid leukemia,2.0
466,davide pacini,5,"aortic aneurysm, thoracoabdominal",1.0
467,corrado pedrazzani,5,colorectal cancer,1.0
468,gianantonio rosti,5,chronic myeloid leukemia,4.0
469,ixiu del carmen cabrales guerra,5,migraine,2.0
470,valentina boni,5,advanced solid tumor,2.0
471,gianni bisogno,5,localized osteosarcoma,1.0
472,graziella pinotti,5,non-small cell lung cancer stage iiib,1.0
473,raid aljumaily,5,stage iiib lung cancer ajcc v8,3.0
474,praveen vashist,5,stage iiib lung cancer ajcc v8,2.0
475,adam m. forman,5,stage iiib lung cancer ajcc v8,2.0
476,connie hsu,5,ulcerative colitis,4.0
477,salvatore a. del prete,5,stage iiib lung cancer ajcc v8,3.0
478,matteo bertini,5,"arrhythmias, cardiac",1.0
479,gian matteo rigolin,5,chronic lymphocytic leukemia,3.0
480,michele tinazzi,5,parkinson disease,4.0
481,antonella brunello,5,soft tissue sarcoma,2.0
482,paolo feltracco,5,hypovolemia during liver transplantation,1.0
483,filippo gherlinzoni,5,chronic myeloid leukemia,1.0
484,gabriele anania,5,colon cancer,3.0
485,elio jovine,5,colorectal neoplasms malignant,2.0
486,herta h. chao,5,stage iiib lung cancer ajcc v8,2.0
487,andrea gallamini,5,hodgkin lymphoma,3.0
488,emily g. robinson,5,stage iv lung cancer ajcc v8,2.0
489,yan ji,5,stage iii colon cancer,1.0
490,milena cadenaro,5,molar incisor hypomineralization,2.0
491,rosanna martin,5,memory,1.0
492,elisabetta todisco,5,acute myeloid leukemia,3.0
493,cagatay arslan,5,squamous cell carcinoma of the head and neck,1.0
494,marina aloi,5,ulcerative colitis,1.0
495,vittorina zagonel,5,glioblastoma multiforme,1.0
496,dinesh talwar,5,migraine,2.0
497,francesca palandri,5,polycythemia vera,2.0
498,sofia straudi,5,multiple sclerosis,2.0
499,gabriella farina,5,non-small cell lung cancer stage iv,1.0
500,daniele de luca,5,refined diagnosis of different types of neonatal respiratory failure,2.0
501,ugo pastorino,5,lung cancer,4.0
502,laura buggio,5,endometriosis,5.0
503,fabio barra,5,endometriosis,2.0
504,giovanni esposito,5,coronary artery disease,3.0
505,gary v. burton,5,metastatic malignant neoplasm in the brain,1.0
506,maria cantonetti,5,large-b-cell diffuse lymphoma,1.0
507,catherine thieblemont,5,marginal zone lymphoma,2.0
508,giulia benevolo,5,polycythemia vera,2.0
509,tareq al baghdadi,5,breast inflammatory carcinoma,1.0
510,tyler gunter,5,prostate adenocarcinoma,2.0
511,francesco bianco,5,coronary artery anomaly,1.0
512,david gregory true,5,migraine,2.0
513,roberto luksch,5,diagnosed or relapsed/refractory sarcomas,1.0
514,roxana mehran,5,coronary artery disease,2.0
515,luciano gattinoni,5,severe sepsis,3.0
516,nicolas isambert,5,esophageal squamous cell carcinoma,1.0
517,alberto albanese,5,parkinson's disease,2.0
518,jakob begun,5,ulcerative colitis,4.0
519,michele aieta,5,metastatic breast cancer,2.0
520,carlo ferrarese,5,ischemic stroke,2.0
