,Condition,Average Attention Score
284,Diffuse Large B-cell Lymphoma,137.5
285,Post-essential Thrombocythemia Myelofibrosis,135.4
286,Post-polycythemia Vera Myelofibrosis,135.4
287,Invasive Candidiases,135.0
288,"Non-Hodgkin Lymphoma, Adult",135.0
289,Hematopoietic Stem Cells,135.0
290,"Lymphoma, Follicular",134.33333333333334
291,COVID-19 Pneumonia,132.0
292,Non-small Cell Lung Cancer Metastatic,131.33333333333334
293,Advanced Synovial Sarcoma,131.0
294,Giant Cell Tumors of the Tendon Sheath,131.0
295,Rheumatoid Arthritis (RA),130.0
296,Obstructive Hypertrophic Cardiomyopathy,126.0
297,Head and Neck Neoplasms,125.25
298,Refractory Follicular Lymphoma,125.0
299,Tumors,123.5
300,Thrombotic Thrombocytopenic Purpura (TTP),123.0
301,Metastatic Merkel Cell Carcinoma,122.0
302,Metastatic Cholangiocarcinoma,122.0
303,Unresectable Cholangiocarcinoma,122.0
304,Hidradenitis Suppurativa,122.0
305,Heart Failure With Reduced Ejection Fraction,121.0
306,Neoplasms,120.6
307,Atrial Fibrillation (AF),120.0
308,"Prostatic Neoplasms, Castration-Resistant",119.5
309,Malignant Melanoma,119.25
310,Severe Hypertriglyceridemia,119.0
311,Lymphoma,118.75
312,"Myeloid Leukemia, Chronic, Chronic Phase",118.0
313,Squamous Cell Carcinoma of the Anal Canal,117.0
314,Neoplasms by Histologic Type,117.0
315,Chronic Kidney Disease,116.14285714285714
316,Narcolepsy Type 2 (NT2),116.0
317,Narcolepsy Type 1 (NT1),116.0
318,Acute Non-cardioembolic Ischemic Stroke,116.0
319,Neovascular Age-Related Macular Degeneration,114.0
320,Cardiomyopathies,114.0
321,Charcot-Marie-Tooth Disease,114.0
322,Pouchitis,114.0
323,Amyloid Cardiomyopathy,114.0
324,Heart Failure,113.72222222222223
325,Synovial Sarcoma,113.33333333333333
326,Pancreatic Ductal Adenocarcinoma,113.2
327,"Arthritis, Psoriatic",112.8
328,MCRPC,112.0
329,Advanced Solid Tumors,109.44444444444444
330,Waldenström's Macroglobulinemia,108.0
331,Anemia,107.71428571428571
332,HR+/HER2- Breast Cancer,107.0
333,"Leukemia, Myeloid, Acute",105.7
334,Squamous Cell Carcinoma (SCC),105.0
335,"Recurrent or Metastatic, Platinum-refractory Cervical Cancer",105.0
336,Urothelial Cancer,103.625
337,Acquired Thrombotic Thrombocytopenic Purpura (aTTP),103.0
338,Locally Advanced or Metastatic Unresectable Urothelial Cancer,103.0
339,"Lymphoma, Large B-Cell, Diffuse",102.5
340,Colon Cancer,102.25
341,Atrial Fibrillation,101.21428571428571
342,COVID-19,100.13793103448276
343,HRAS Gene Mutation,100.0
344,HNSCC,100.0
345,Primary Biliary Cirrhosis,99.0
346,Tricuspid Valve Insufficiency,99.0
347,Melanoma Stage III,97.5
348,Melanoma Stage IV,97.5
349,XLP,97.0
350,EPP,97.0
351,Gastroparesis,97.0
352,SARS-CoV2 Infection,95.5
353,Multiple Myeloma,95.36585365853658
354,Healthy,94.5
355,Metastatic Colorectal Adenocarcinoma,94.0
356,Neovascular Age-related Macular Degeneration (nAMD),94.0
357,"Tenosynovial Giant Cell Tumor, Localized",93.0
358,Autologous Stem Cell Transplant,93.0
359,Alzheimer's Disease,92.23529411764706
360,Solid Tumors Harboring NTRK Fusion,91.33333333333333
361,Aggressive Fibromatosis,91.0
362,Early Breast Cancer,90.85714285714286
363,Advanced Renal Cell Carcinoma,90.5
364,Membranoproliferative Glomerulonephritis (MPGN),90.0
365,IC-MPGN,90.0
366,Complement 3 Glomerulonephritis,90.0
367,Immune Complex Membranoproliferative Glomerulonephritis (IC-MPGN),90.0
368,Complement 3 Glomerulopathy (C3G),90.0
369,Dense Deposit Disease,90.0
370,DDD,90.0
371,Complement 3 Glomerulopathy,90.0
372,C3 Glomerulonephritis,90.0
373,C3 Glomerulopathy,90.0
374,C3G,90.0
375,MET Fusion,89.0
376,Biliary Tract Cancers,89.0
377,Exon 14 Skipping,89.0
378,Brain Tumor,89.0
379,HGF,89.0
380,MET Amplification,89.0
381,EGFR Gene Mutation,89.0
382,Renal Cancer,89.0
383,MET Alteration,89.0
384,Papillary Thyroid Cancer,88.5
385,COPD,88.0
386,"Lymphoma, Large-Cell, Anaplastic",88.0
387,Dementia-related Psychosis,88.0
388,Parkinson's Disease,88.0
389,Meningococcal Vaccine,87.0
390,Pediatric Cancer,85.0
391,Idiopathic Pulmonary Fibrosis (IPF),85.0
392,Nonalcoholic Steatohepatitis (NASH) With Fibrosis,85.0
393,Breast Neoplasms,84.61538461538461
394,Non-Squamous Non-Small Cell Lung Cancer,84.0
395,Fungal Infection,84.0
396,Relapsed/Refractory Follicular Lymphoma,83.66666666666667
397,Amyotrophic Lateral Sclerosis,83.58333333333333
398,Mixed Lineage Acute Leukemia,83.0
399,Mixed Phenotype Acute Leukemia,83.0
400,Atypical Hemolytic Uremic Syndrome,83.0
401,Acute Leukemia of Ambiguous Lineage,83.0
402,Mixed Lineage Leukemia,83.0
403,Prevention of Ischemic Stroke,82.0
404,High-risk Transient Ischemic Attack,82.0
405,Metastatic Neoplasm,82.0
406,Lung Lesion(s) Requiring Evaluation,82.0
407,Metastatic Non-Small Cell Lung Cancer,81.5
408,Epidermolysis Bullosa,81.0
409,Myelofibrosis (MF),80.75
410,"Diabetes Mellitus, Type 1",80.75
411,Respiratory Tract Disease,80.25
412,Estrogen Receptor- Negative Breast Cancer,80.0
413,Progesterone Receptor- Negative Breast Cancer,80.0
414,HER2- Negative Breast Cancer,80.0
415,Cancer of the Breast,80.0
416,Breast Tumor,80.0
417,"Melanoma, Malignant",80.0
418,Triple-negative Metastatic Breast Cancer,80.0
419,Pigmented Villonodular Synovitis,79.33333333333333
420,Tenosynovial Giant Cell Tumor,79.33333333333333
421,HPV16 Positive,79.0
422,Graves' Orbitopathy,79.0
423,Dyslipidemic,78.0
424,Facioscapulohumeral Muscular Dystrophy (FSHD),78.0
425,Hypercholesterolemia,78.0
426,Primary Systemic (AL) Amyloidosis,78.0
427,Muscle-invasive Bladder Cancer,77.5
428,Non-Small Cell Lung Cancer,77.20833333333333
429,"Carcinoma, Renal Cell",76.88888888888889
430,Urothelial Carcinoma,76.25
431,Renal Cell Cancer,76.0
432,NMO Spectrum Disorder (NMOSD),76.0
433,Neuromyelitis Optica (NMO),76.0
434,Gastroesophageal Junction Cancer,75.66666666666667
435,Primary Myelofibrosis,75.25
436,Prevention of Stroke or Systemic Embolism,75.0
437,Squamous Cell Carcinoma of the Oral Cavity,75.0
438,Squamous Cell Carcinoma of the Soft Palate,75.0
439,Carcinoma,74.6
440,Clinical Stage III Cutaneous Melanoma AJCC v8,73.0
441,Chronic Anemia,73.0
442,Β-thalassemia,73.0
443,Ineffective Erythropoiesis,73.0
444,"Colitis, Ulcerative",73.0
445,Mucosal Melanoma,73.0
446,"Arrhythmia, Ventricular",72.0
447,Friedreich Ataxia,72.0
448,Stage III/IV Melanoma,72.0
449,Chronic Lymphocytic Leukemia,71.5
450,Crohn Disease,71.21428571428571
451,Chronic Graft-versus-host Disease,71.0
452,"Solid Tumor, Adult",71.0
453,"Carcinoma, Non-Squamous Non-Small Cell Lung",70.0
454,Non Alcoholic Steatohepatitis (NASH),70.0
455,Aneurysmal Subarachnoid Hemorrhage,70.0
456,Neuroendocrine Tumors,69.85714285714286
457,Metastatic Castration Resistant Prostate Cancer,69.0
458,Alzheimer Disease,68.85714285714286
459,Autoimmune Pulmonary Alveolar Proteinosis,68.0
460,Cutaneous Melanoma,68.0
461,Small Fiber Neuropathy,67.5
462,Non-small Cell Lung Cancer,67.13636363636364
463,CNS Tumors,67.0
464,Cytomegalovirus Infection,66.5
465,B-cell Malignancies,66.0
466,Unresectable Melanoma,65.66666666666667
467,T-Cell Lymphoma,65.0
468,Anaplastic Large-Cell Lymphoma,65.0
469,Lung Diseases,64.4
470,Myocardial Ischemia,64.25
471,Adenocarcinoma Gastric Stage IV With Metastases,64.0
472,Adenocarcinoma - GEJ,64.0
473,NASH - Nonalcoholic Steatohepatitis,64.0
474,Non-Small Cell Lung Cancer (NSCLC),63.0
475,Urothelial Bladder Cancer,63.0
476,Upper Tract Urothelial Carcinomas,63.0
477,Diffuse Large B-Cell Lymphoma,62.6
478,FGFR2 Gene Mutation,62.5
479,Transthyretin (TTR) Amyloid Cardiomyopathy,62.0
480,Synchronous Bilateral Breast Carcinoma,62.0
481,Multicentric Breast Carcinoma,62.0
482,Multifocal Breast Carcinoma,62.0
483,Cancer of Unknown Primary Site,61.0
484,Glioblastoma Multiforme,61.0
485,Transthyretin Amyloidosis,60.5
486,Follicular Lymphoma,60.13333333333333
487,HSIL,60.0
488,High-grade Serous Ovarian Carcinoma,60.0
489,Cervical High Grade Squamous Intraepithelial Lesion,60.0
490,Cervical Dysplasia,60.0
491,Mycoses,60.0
492,Desmoid Tumor,59.0
493,Recurrent Pericarditis,59.0
494,Pulmonary Arterial Hypertension,58.785714285714285
495,Cardiac Rhythm Disorder,58.0
496,Bradycardia,58.0
497,"Cardiac Pacemaker, Artificial",58.0
498,Advanced Cutaneous Squamous Cell Carcinoma,58.0
499,Fabry Disease,57.714285714285715
500,Triple-negative Breast Cancer,56.666666666666664
501,Erythrocyte Transfusion,56.0
502,Type 2 Diabetes Mellitus,56.0
503,Non-Cystic Fibrosis Bronchiectasis,56.0
504,Peanut Allergy,56.0
505,Advanced Cholangiocarcinoma,55.5
506,CIED Related Infection,55.0
507,Non Hodgkin Lymphoma,54.666666666666664
508,Intrahepatic Cholangiocarcinoma,54.333333333333336
509,X-linked Hypophosphatemia,54.0
510,Idiopathic Pulmonary Fibrosis,53.875
511,Colorectal Neoplasms,53.714285714285715
512,HER2 Positive Breast Cancer,53.666666666666664
513,Giant Cell Tumor of Tendon Sheath,53.5
514,"Tenosynovial Giant Cell Tumor, Diffuse",53.5
515,Prostate Cancer,53.38461538461539
516,Colorectal Cancer (CRC),53.25
517,Solid Tumors Harboring Somatic HER2 or EGFR Exon 18 Mutations,53.0
518,Pancreatic Ductal Carcinoma,53.0
519,Metastatic Hormone-sensitive Prostate Cancer,53.0
520,Metastatic Prostate Cancer,53.0
521,Esophageal Cancer,52.666666666666664
522,Systemic Lupus Erythematosus,52.42857142857143
523,Primary Biliary Cholangitis,52.0
524,Osteosarcoma,52.0
525,Endogenous Cushing's Syndrome,52.0
526,Chronic Myelomonocytic Leukemia,51.833333333333336
527,Breast Cancer,51.50632911392405
528,Marginal Zone Lymphoma,51.5
529,Acute Myeloid Leukemia (AML),50.8
530,Dermatitis,50.5
531,"Hypersensitivity, Immediate",50.5
532,Skin Diseases,50.5
533,"Skin Diseases, Genetic",50.5
534,Hypersensitivity,50.5
535,Eczema,50.5
536,"Skin Diseases, Eczematous",50.5
537,Metastatic Breast Cancer,50.473684210526315
538,Amyloidosis,50.125
539,Advanced (Stage IIIB/IV) Non-small Cell Lung Cancer (NSCLC) With MET Exon 14 (METex14) Skipping Alterations or MET Amplification,50.0
540,Lung Adenocarcinoma Stage IIIB/IV,50.0
541,Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia (Ph+ALL),50.0
542,Hypertrophic Cardiomyopathy (HCM),49.0
543,HER-2 Positive Breast Cancer,48.5
544,Advanced Malignant Neoplasm,48.5
545,Acute Myeloid Leukemia,48.303030303030305
546,Advanced Ovarian Cancer,48.0
547,First Line Platinum Chemotherapy,48.0
548,BRCA Mutation,48.0
549,Small Cell Lung Carcinoma,48.0
550,Recurrent Breast Cancer,47.5
551,Cardiovascular Diseases,47.25
552,Metastatic Non Small Cell Lung Cancer,47.0
553,Abiraterone Acetate,47.0
554,Prednisone,47.0
555,Antineoplastic Agents,47.0
556,"Antineoplastic Agents, Hormonal",47.0
557,Physiological Effects of Drugs,47.0
558,Cytochrome P-450,47.0
559,Cyclin-Dependent Kinase 4,47.0
560,Hormones,47.0
561,Cyclin-Dependent Kinase 6,47.0
562,Steroid Synthesis Inhibitors,47.0
563,Malignant Neoplasm,47.0
564,"Hormones, Hormone Substitutes, and Hormone Antagonists",47.0
565,Enzyme Inhibitors,47.0
566,Androgens,47.0
567,Prednisolone,47.0
568,Psoriasis,46.666666666666664
569,Hemophilia B,46.2
570,Stage I Lung Cancer AJCC v8,46.0
571,Hosptial Acquired Pneumonia,46.0
572,HER2+ Metastatic Breast Cancer (MBC),46.0
573,Glycogen Storage Disease Type III,46.0
574,Candidemia,46.0
575,Neuroendocrine Tumour,46.0
576,"Arthroplasty, Replacement, Knee",46.0
577,Stage II Lung Cancer AJCC v8,46.0
578,Complicated Intra-abdominal Infection,46.0
579,Stage III Lung Cancer AJCC v8,46.0
580,Carcinoid Tumor of the Small Bowel,46.0
581,Ulcerative Colitis,45.903225806451616
582,Membranoproliferative Glomerulonephritis,45.5
583,Colorectal Cancer,45.34782608695652
584,Episodic Migraine,45.0
585,SARS-CoV-2,45.0
586,"Unresectable, Locally Advanced or Metastatic, Adenocarcinoma of the Stomach, or of the Gastro Esophageal Junction",45.0
587,Triple Negative Breast Cancer,44.857142857142854
588,Fibrodysplasia Ossificans Progressiva,44.4
589,Non-Small Cell Lung Cancer Metastatic,44.0
590,Ventricular Arrythmia,44.0
591,"Non-Squamous Non-Small Cell Lung Cancer, Squamous Non-Small Cell Lung Cancer",44.0
592,Invasive Ductal Breast Carcinoma,44.0
593,Beta-Thalassemia,43.5
594,Myelodysplastic Syndromes,43.15
595,Complete Response,43.0
596,FIGO Stage III-IV,43.0
597,NSCLC Harboring NRG1 Fusion,43.0
598,Brain Edema,43.0
599,"Stroke, Acute",43.0
600,Pancreatic Cancer Harboring NRG1 Fusion,43.0
601,Solid Tumours Harboring NRG1 Fusion,43.0
602,Newly Diagnosed,43.0
603,NRG1 Fusion,43.0
604,Partial Response,43.0
605,Pulmonary Arterial Hypertension (PAH) (WHO Group 1 PH),43.0
606,"Anemia, Hemolytic",42.5
607,Relapsed or Refractory Follicular Lymphoma,42.0
608,Parkinsons Disease,42.0
609,Advanced Cancer,42.0
610,Atherosclerotic Cardiovascular Disease,41.75
611,Duchenne Muscular Dystrophy (DMD),41.666666666666664
612,"Muscular Atrophy, Spinal",41.57142857142857
613,Thyroid Cancer,41.333333333333336
614,Acute Coronary Syndrome (ACS),41.0
615,Essential Thrombocytosis,41.0
616,Preleukemia,41.0
617,Myelodysplastic/Myeloproliferative Neoplasm,41.0
618,Precancerous Conditions,41.0
619,Recurrent Lung Small Cell Carcinoma,41.0
620,Paroxysmal Nocturnal Hemoglobinuria,41.0
621,Bone Marrow Disease,41.0
622,"Leukemia, Myelocytic, Acute",41.0
623,Stage IV Breast Cancer,40.5
624,Non-Alcoholic Steatohepatitis (NASH),40.0
625,Primary Haemophagocytic Lymphohistiocytosis,40.0
626,Limited Stage Lung Small Cell Carcinoma,40.0
627,Respiratory Syncytial Virus Infection,40.0
628,Relapsed Diffuse Large B-Cell Lymphoma,40.0
629,Clinical Stage IV Cutaneous Melanoma AJCC v8,39.5
630,Acral Lentiginous Melanoma,39.5
631,Acute Myocardial Infarction,39.5
632,"Tachycardia, Ventricular",39.5
633,"Dermatitis, Atopic",39.333333333333336
634,High-grade B-cell Lymphoma (HGBCL),39.0
635,Small Lymphocytic Lymphoma (SLL),39.0
636,Diffuse Large B-cell Lymphoma (DLBCL),39.0
637,CMV Disease,39.0
638,PFIC1,39.0
639,PFIC2,39.0
640,Kidney Neoplasms,39.0
641,Marginal Zone Lymphoma (MZL),39.0
642,Carotid Stenosis,39.0
643,Primary Mediastinal Large B-cell Lymphoma (PMBCL),39.0
644,Mantle Cell Lymphoma (MCL),39.0
645,Neuromyelitis Optica Spectrum Disorder,38.5
646,Gallbladder Cancer,38.5
647,Osteoporosis Localized to Spine,38.0
648,Age Related Osteoporosis,38.0
649,"Osteoporosis, Age-Related",38.0
