,Trial ID,Title,Altmetric Attention Score,Condition
39,NCT04185883,"A Phase 1b/2, Protocol Evaluating the Safety, Tolerability, Pharmacokinetics, and Efficacy of Sotorasib Monotherapy and in Combination With Other Anti-cancer Therapies in Subjects With Advanced Solid Tumors With KRAS p.G12C Mutation (CodeBreak 101)",757.0,Kirsten Rat Sarcoma (KRAS) pG12C Mutation
40,NCT04611152,"A Prospective, Randomized, Double-masked, Active Comparator-controlled, Multi-center, Two-arm, Phase 3 Study to Evaluate the Efficacy and Safety of Intravitreal KSI-301 Compared With Intravitreal Aflibercept in Participants With Visual Impairment Secondary to Treatment-naïve Diabetic Macular Edema (DME)",756.0,Diabetic Macular Edema
41,NCT03594110,A Multicentre International Randomized Parallel Group Double-blind Placebo-controlled Clinical Trial of EMPAgliflozin Once Daily to Assess Cardio-renal Outcomes in Patients With Chronic KIDNEY Disease,734.0,Chronic Kidney Disease
42,NCT04538664,"A Randomized, Open-label Phase 3 Study of Combination Amivantamab and Carboplatin-Pemetrexed Therapy, Compared With Carboplatin-Pemetrexed, in Patients With EGFR Exon 20ins Mutated Locally Advanced or Metastatic Non-Small Cell Lung Cancer",732.0,"Carcinoma, Non-Small-Cell Lung"
43,NCT04933695,"A Phase 2, Multicenter, Open-label Study of Sotorasib (AMG 510) in Subjects With Stage IV NSCLC Whose Tumors Harbor a KRAS G12C Mutation in Need of First-line Treatment (CodeBreaK 201)",730.0,Non-small Cell Lung Cancer
44,NCT04487080,"A Phase 3, Randomized Study of Amivantamab and Lazertinib Combination Therapy Versus Osimertinib Versus Lazertinib as First-Line Treatment in Patients With EGFR-Mutated Locally Advanced or Metastatic Non-Small Cell Lung Cancer.",729.0,"Carcinoma, Non-Small-Cell Lung"
45,NCT03057977,"A Phase III Randomised, Double-blind Trial to Evaluate Efficacy and Safety of Once Daily Empagliflozin 10 mg Compared to Placebo, in Patients With Chronic Heart Failure With Reduced Ejection Fraction (HFrEF)",724.0,Heart Failure
46,NCT03390504,A Phase 3 Study of Erdafitinib Compared With Vinflunine or Docetaxel or Pembrolizumab in Subjects With Advanced Urothelial Cancer and Selected FGFR Gene Aberrations,720.0,Urothelial Cancer
47,NCT04181827,"A Phase 3 Randomized Study Comparing JNJ-68284528, a Chimeric Antigen Receptor T Cell (CAR-T) Therapy Directed Against BCMA, Versus Pomalidomide, Bortezomib and Dexamethasone (PVd) or Daratumumab, Pomalidomide and Dexamethasone (DPd) in Subjects With Relapsed and Lenalidomide-Refractory Multiple Myeloma",700.0,Multiple Myeloma
48,NCT04737187,"An Open-label, Randomized, Phase III Study Comparing Trifluridine/Tipiracil in Combination With Bevacizumab to Trifluridine/Tipiracil Monotherapy in Patients With Refractory Metastatic Colorectal Cancer (SUNLIGHT Study)",699.0,Refractory Metastatic Colorectal Cancer
49,NCT04077463,"An Open-label Phase 1/1b Study to Evaluate the Safety and Pharmacokinetics of JNJ-73841937 (Lazertinib), a Third Generation EGFR-TKI, as Monotherapy or in Combinations With JNJ-61186372, a Human Bispecific EGFR and cMet Antibody in Participants With Advanced Non-Small Cell Lung Cancer",697.0,"Carcinoma, Non-Small-Cell Lung"
50,NCT02279524,"A Phase IIb, Double Blind Randomized, Controlled Clinical Trial, to Evaluate the Efficacy and Safety of Two Aramchol Doses Versus Placebo in Patients With Non-Alcoholic Steatohepatitis (NASH) - Aramchol 005 Study",695.0,Fatty Liver
51,NCT02279524,"A Phase IIb, Double Blind Randomized, Controlled Clinical Trial, to Evaluate the Efficacy and Safety of Two Aramchol Doses Versus Placebo in Patients With Non-Alcoholic Steatohepatitis (NASH) - Aramchol 005 Study",695.0,Non-Alcoholic Steatohepatitis
52,NCT02279524,"A Phase IIb, Double Blind Randomized, Controlled Clinical Trial, to Evaluate the Efficacy and Safety of Two Aramchol Doses Versus Placebo in Patients With Non-Alcoholic Steatohepatitis (NASH) - Aramchol 005 Study",695.0,Liver Diseases
53,NCT02279524,"A Phase IIb, Double Blind Randomized, Controlled Clinical Trial, to Evaluate the Efficacy and Safety of Two Aramchol Doses Versus Placebo in Patients With Non-Alcoholic Steatohepatitis (NASH) - Aramchol 005 Study",695.0,Liver Fibroses
54,NCT04115293,"A Phase 3, Multicenter, Randomized, Double Blind, Placebo-Controlled Study to Confirm the Safety, Tolerability, and Efficacy of Zilucoplan in Subjects With Generalized Myasthenia Gravis",695.0,"Myasthenia Gravis, Generalized"
55,NCT03466411,"A Phase 2/3, Randomized, Double-blind, Placebo- and Active-controlled, Parallel-group, Multicenter Protocol to Evaluate the Efficacy and Safety of Guselkumab in Participants With Moderately to Severely Active Crohn's Disease",693.0,Crohn's Disease
56,NCT02319837,"A Phase 3, Randomized, Efficacy and Safety Study of Enzalutamide Plus Leuprolide, Enzalutamide Monotherapy, and Placebo Plus Leuprolide in Men With High-Risk Nonmetastatic Prostate Cancer Progressing After Definitive Therapy",691.0,Hormone Sensitive Prostate Cancer
57,NCT02319837,"A Phase 3, Randomized, Efficacy and Safety Study of Enzalutamide Plus Leuprolide, Enzalutamide Monotherapy, and Placebo Plus Leuprolide in Men With High-Risk Nonmetastatic Prostate Cancer Progressing After Definitive Therapy",691.0,Prostate Cancer
58,NCT02319837,"A Phase 3, Randomized, Efficacy and Safety Study of Enzalutamide Plus Leuprolide, Enzalutamide Monotherapy, and Placebo Plus Leuprolide in Men With High-Risk Nonmetastatic Prostate Cancer Progressing After Definitive Therapy",691.0,Cancer of the Prostate
59,NCT03986138,Efficacy and Safety of Gadopiclenol for Body Magnetic Resonance Imaging (MRI),689.0,Lesion in Body Region
60,NCT04150068,A Phase 2/3 Study to Evaluate the Safety and Efficacy of Long Acting Capsid Inhibitor GS-6207 in Combination With an Optimized Background Regimen in Heavily Treatment Experienced People Living With HIV-1 Infection With Multidrug Resistance,687.0,HIV-1-infection
61,NCT03829657,"A Phase 3, 22-week, Multi-center, Randomized Withdrawal Study of TD-9855 in Treating Symptomatic Neurogenic Orthostatic Hypotension in Subjects With Primary Autonomic Failure",685.0,Symptomatic Neurogenic Orthostatic Hypotension
62,NCT03829657,"A Phase 3, 22-week, Multi-center, Randomized Withdrawal Study of TD-9855 in Treating Symptomatic Neurogenic Orthostatic Hypotension in Subjects With Primary Autonomic Failure",685.0,MSA
63,NCT03829657,"A Phase 3, 22-week, Multi-center, Randomized Withdrawal Study of TD-9855 in Treating Symptomatic Neurogenic Orthostatic Hypotension in Subjects With Primary Autonomic Failure",685.0,Parkinson's Disease (PD)
64,NCT03829657,"A Phase 3, 22-week, Multi-center, Randomized Withdrawal Study of TD-9855 in Treating Symptomatic Neurogenic Orthostatic Hypotension in Subjects With Primary Autonomic Failure",685.0,Pure Autonomic Failure (PAF)
65,NCT03155997,"A Randomized, Open-Label, Phase 3 Study of Abemaciclib Combined With Standard Adjuvant Endocrine Therapy Versus Standard Adjuvant Endocrine Therapy Alone in Patients With High Risk, Node Positive, Early Stage, Hormone Receptor Positive, Human Epidermal Receptor 2 Negative, Breast Cancer",680.0,Breast Cancer
66,NCT05455320,"A Phase 3 Randomized Study Comparing Talquetamab SC in Combination With Daratumumab SC and Pomalidomide (Tal-DP) or Talquetamab SC in Combination With Daratumumab SC (Tal-D) Versus Daratumumab SC, Pomalidomide and Dexamethasone (DPd), in Participants With Relapsed or Refractory Multiple Myeloma Who Have Received at Least 1 Prior Line of Therapy",674.0,Relapsed or Refractory Multiple Myeloma
67,NCT02910583,Phase 2 Study of the Combination of Ibrutinib Plus Venetoclax in Subjects With Treatment-naïve Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,673.0,Leukemia
68,NCT02910583,Phase 2 Study of the Combination of Ibrutinib Plus Venetoclax in Subjects With Treatment-naïve Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,673.0,Chronic Lymphocytic Leukemia
69,NCT02910583,Phase 2 Study of the Combination of Ibrutinib Plus Venetoclax in Subjects With Treatment-naïve Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,673.0,Small Lymphocytic Lymphoma
70,NCT03748641,"A Phase 3 Randomized, Placebo-controlled, Double-blind Study of Niraparib in Combination With Abiraterone Acetate and Prednisone Versus Abiraterone Acetate and Prednisone in Subjects With Metastatic Prostate Cancer",670.0,Castration-Resistant Prostatic Cancer
71,NCT04988295,"A Phase 3, Open-Label, Randomized Study of Amivantamab and Lazertinib in Combination With Platinum-Based Chemotherapy Compared With Platinum-Based Chemotherapy in Patients With EGFR-Mutated Locally Advanced or Metastatic Non-Small Cell Lung Cancer After Osimertinib Failure",667.0,"Carcinoma, Non-Small-Cell Lung"
72,NCT05357950,"A Phase IIb, Randomized, Multi-Center, Multinational, Prospective, Double-Blind, Placebo-Controlled Study, With an Open Label Extension, to Evaluate Safety, Tolerability and Efficacy of PrimeC in Subjects With ALS",667.0,Amyotrophic Lateral Sclerosis
73,NCT05357950,"A Phase IIb, Randomized, Multi-Center, Multinational, Prospective, Double-Blind, Placebo-Controlled Study, With an Open Label Extension, to Evaluate Safety, Tolerability and Efficacy of PrimeC in Subjects With ALS",667.0,ALS
74,NCT02399085,"A Phase II, Single-Arm, Open-Label, Multicentre Study to Evaluate the Safety and Efficacy of Lenalidomide Combined With MOR00208 in Patients With Relapsed or Refractory Diffuse Large B-Cell Lymphoma (R-R DLBCL)",662.0,Diffuse Large B-cell Lymphoma
75,NCT04033445,"A Phase 2b/3, Randomized, Double-blind, Placebo-controlled, Parallel-group, Multicenter Protocol to Evaluate the Efficacy and Safety of Guselkumab in Participants With Moderately to Severely Active Ulcerative Colitis",659.0,Ulcerative Colitis
76,NCT04083976,A Phase 2 Study of Erdafitinib in Subjects With Advanced Solid Tumors and FGFR Gene Alterations,659.0,Advanced Solid Tumor
77,NCT05276063,"A Phase 2b, Randomized, Double-Mask, Placebo-Controlled, Study to Evaluate the Safety, Pharmacokinetics and Efficacy of Linsitinib in Subjects With Active, Moderate to Severe Thyroid Eye Disease (TED)",658.0,Thyroid Eye Disease
78,NCT05276063,"A Phase 2b, Randomized, Double-Mask, Placebo-Controlled, Study to Evaluate the Safety, Pharmacokinetics and Efficacy of Linsitinib in Subjects With Active, Moderate to Severe Thyroid Eye Disease (TED)",658.0,Graves Orbitopathy
79,NCT05276063,"A Phase 2b, Randomized, Double-Mask, Placebo-Controlled, Study to Evaluate the Safety, Pharmacokinetics and Efficacy of Linsitinib in Subjects With Active, Moderate to Severe Thyroid Eye Disease (TED)",658.0,Endocrine System Diseases
80,NCT05276063,"A Phase 2b, Randomized, Double-Mask, Placebo-Controlled, Study to Evaluate the Safety, Pharmacokinetics and Efficacy of Linsitinib in Subjects With Active, Moderate to Severe Thyroid Eye Disease (TED)",658.0,Eye Diseases
81,NCT05276063,"A Phase 2b, Randomized, Double-Mask, Placebo-Controlled, Study to Evaluate the Safety, Pharmacokinetics and Efficacy of Linsitinib in Subjects With Active, Moderate to Severe Thyroid Eye Disease (TED)",658.0,Thyroid Associated Ophthalmopathy
82,NCT05276063,"A Phase 2b, Randomized, Double-Mask, Placebo-Controlled, Study to Evaluate the Safety, Pharmacokinetics and Efficacy of Linsitinib in Subjects With Active, Moderate to Severe Thyroid Eye Disease (TED)",658.0,Graves Ophthalmopathy
83,NCT05276063,"A Phase 2b, Randomized, Double-Mask, Placebo-Controlled, Study to Evaluate the Safety, Pharmacokinetics and Efficacy of Linsitinib in Subjects With Active, Moderate to Severe Thyroid Eye Disease (TED)",658.0,Thyroid Diseases
84,NCT05276063,"A Phase 2b, Randomized, Double-Mask, Placebo-Controlled, Study to Evaluate the Safety, Pharmacokinetics and Efficacy of Linsitinib in Subjects With Active, Moderate to Severe Thyroid Eye Disease (TED)",658.0,Orbital Diseases
85,NCT05276063,"A Phase 2b, Randomized, Double-Mask, Placebo-Controlled, Study to Evaluate the Safety, Pharmacokinetics and Efficacy of Linsitinib in Subjects With Active, Moderate to Severe Thyroid Eye Disease (TED)",658.0,Proptosis
86,NCT05276063,"A Phase 2b, Randomized, Double-Mask, Placebo-Controlled, Study to Evaluate the Safety, Pharmacokinetics and Efficacy of Linsitinib in Subjects With Active, Moderate to Severe Thyroid Eye Disease (TED)",658.0,IGF1R
87,NCT05276063,"A Phase 2b, Randomized, Double-Mask, Placebo-Controlled, Study to Evaluate the Safety, Pharmacokinetics and Efficacy of Linsitinib in Subjects With Active, Moderate to Severe Thyroid Eye Disease (TED)",658.0,Exophthalmos
88,NCT05276063,"A Phase 2b, Randomized, Double-Mask, Placebo-Controlled, Study to Evaluate the Safety, Pharmacokinetics and Efficacy of Linsitinib in Subjects With Active, Moderate to Severe Thyroid Eye Disease (TED)",658.0,Hashimoto
89,NCT02484547,"A Phase 3 Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Efficacy and Safety of Aducanumab (BIIB037) in Subjects With Early Alzheimer's Disease",656.0,Alzheimer's Disease
90,NCT03110562,"A Phase 3 Randomized, Controlled, Open-label Study of Selinexor, Bortezomib, and Dexamethasone (SVd) Versus Bortezomib and Dexamethasone (Vd) in Patients With Relapsed or Refractory Multiple Myeloma (RRMM)",654.0,Multiple Myeloma
91,NCT03105102,"A Multicenter, Randomized, Double-Blind, Placebo Controlled 52-Week Maintenance and an Open-Label Extension Study of the Efficacy and Safety of Risankizumab in Subjects With Crohn's Disease",642.0,Crohn's Disease
92,NCT04172675,A Randomized Phase 2 Study of Erdafitinib Versus Investigator Choice of Intravesical Chemotherapy in Subjects Who Received Bacillus Calmette-Guérin (BCG) and Recurred With High Risk Non-Muscle-Invasive Bladder Cancer (NMIBC) and FGFR Mutations or Fusions,629.0,Urinary Bladder Neoplasms
93,NCT04640623,"Phase 2b Clinical Study Evaluating Efficacy and Safety of TAR-200 in Combination With Cetrelimab, TAR-200 Alone, or Cetrelimab Alone in Participants With High-Risk Non-Muscle Invasive Bladder Cancer (NMIBC) Unresponsive to Intravesical Bacillus Calmette-Guérin (BCG) Who Are Ineligible for or Elected Not to Undergo Radical Cystectomy",619.0,Urinary Bladder Neoplasms
94,NCT03924895,A Randomized Phase 3 Study Evaluating Cystectomy With Perioperative Pembrolizumab and Cystectomy With Perioperative Enfortumab Vedotin and Pembrolizumab Versus Cystectomy Alone in Participants Who Are Cisplatin-Ineligible or Decline Cisplatin With Muscle-Invasive Bladder Cancer (KEYNOTE-905/EV-303),613.0,"Urinary Bladder Cancer, Muscle-invasive"
95,NCT03473743,"A Phase 1b-2 Study to Evaluate Safety, Efficacy, Pharmacokinetics, and Pharmacodynamics of Various Regimens of Erdafitinib in Subjects With Metastatic or Locally Advanced Urothelial Cancer",612.0,Urothelial Carcinoma
96,NCT04658862,"A Phase 3, Multi-center, Randomized Study Evaluating Efficacy of TAR-200 in Combination With Cetrelimab Versus Concurrent Chemoradiotherapy in Participants With Muscle-Invasive Urothelial Carcinoma (MIBC) of the Bladder Who Are Not Receiving Radical Cystectomy",610.0,Urinary Bladder Neoplasms
97,NCT02257567,"A Phase IB/II Study Evaluating The Safety, Tolerability and Anti-Tumor Activity of Polatuzumab Vedotin in Combination With Rituximab (R) or Obinutuzumab (G) Plus Bendamustine (B) in Relapsed or Refractory Follicular or Diffuse Large B-Cell Lymphoma",608.0,Lymphoma
98,NCT03248492,"A Phase 2, Multicenter, Open-Label Study of DS-8201a, an Anti-HER2-Antibody Drug Conjugate (ADC) for HER2-Positive, Unresectable and/or Metastatic Breast Cancer Subjects Previously Treated With T-DM1 (DESTINY-Breast01)",607.0,Breast Cancer
99,NCT04700124,"A Phase 3, Randomized, Open-label Study to Evaluate Perioperative Enfortumab Vedotin Plus Pembrolizumab (MK-3475) Versus Neoadjuvant Gemcitabine and Cisplatin in Cisplatin-eligible Participants With Muscle-invasive Bladder Cancer (KEYNOTE-B15 / EV-304)",606.0,Bladder Cancer
100,NCT04919512,"A Phase 2, Open-Label, Multi-Center, Randomized Study of TAR-200 in Combination With Cetrelimab and Cetrelimab Alone in Participants With Muscle-Invasive Urothelial Carcinoma of the Bladder Who Are Scheduled for Radical Cystectomy and Are Ineligible for or Refusing Platinum-Based Neoadjuvant Chemotherapy",605.0,Urinary Bladder Neoplasms
101,NCT05714202,"A Phase 3, Open-Label, Multi-Center, Randomized Study Evaluating the Efficacy and Safety of TAR-200 in Combination With Cetrelimab or TAR-200 Alone Versus Intravesical Bacillus Calmette-Guérin (BCG) in Participants With BCG-naïve High-Risk Non-Muscle Invasive Bladder Cancer",598.0,Bladder Cancer
102,NCT01760005,"A Phase II/III Multicenter Randomized, Double-Blind, Placebo-Controlled Platform Trial of Potential Disease Modifying Therapies Utilizing Biomarker, Cognitive, and Clinical Endpoints in Dominantly Inherited Alzheimer's Disease",593.0,Alzheimers Disease
103,NCT01760005,"A Phase II/III Multicenter Randomized, Double-Blind, Placebo-Controlled Platform Trial of Potential Disease Modifying Therapies Utilizing Biomarker, Cognitive, and Clinical Endpoints in Dominantly Inherited Alzheimer's Disease",593.0,Dementia
104,NCT01760005,"A Phase II/III Multicenter Randomized, Double-Blind, Placebo-Controlled Platform Trial of Potential Disease Modifying Therapies Utilizing Biomarker, Cognitive, and Clinical Endpoints in Dominantly Inherited Alzheimer's Disease",593.0,"Alzheimers Disease, Familial"
105,NCT02048813,"A Randomized Phase III Study of Ibrutinib (PCI-32765)-Based Therapy vs Standard Fludarabine, Cyclophosphamide, and Rituximab (FCR) Chemoimmunotherapy in Untreated Younger Patients With Chronic Lymphocytic Leukemia (CLL)",590.0,Anemia
106,NCT02048813,"A Randomized Phase III Study of Ibrutinib (PCI-32765)-Based Therapy vs Standard Fludarabine, Cyclophosphamide, and Rituximab (FCR) Chemoimmunotherapy in Untreated Younger Patients With Chronic Lymphocytic Leukemia (CLL)",590.0,Chronic Lymphocytic Leukemia
107,NCT02048813,"A Randomized Phase III Study of Ibrutinib (PCI-32765)-Based Therapy vs Standard Fludarabine, Cyclophosphamide, and Rituximab (FCR) Chemoimmunotherapy in Untreated Younger Patients With Chronic Lymphocytic Leukemia (CLL)",590.0,Small Lymphocytic Lymphoma
