,AHC,Sponsors/Collaborators,Number of Collaborations
143,Federico II,Skåne University Hospital,19
144,Federico II,Kaohsiung Chang Gung Memorial Hospital,19
145,Federico II,Royal Melbourne Hospital,19
146,Federico II,Meir Medical Center,19
147,Federico II,Universitätsklinikum Tübingen,19
148,Federico II,Odense University Hospital,19
149,Federico II,University Hospital of Bern,19
150,Federico II,Linkou Chang Gung Memorial Hospital,19
151,Federico II,University of North Carolina at Chapel Hill,19
152,Federico II,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo,19
153,Federico II,Centre Hospitalier Universitaire de Besançon,19
154,Federico II,University of Szeged,19
155,Federico II,Istanbul University,19
156,Federico II,Taipei Veterans General Hospital,19
157,Federico II,University of Padua,19
158,Federico II,University of South Florida,19
159,Federico II,Turku University Hospital,18
160,Federico II,Innsbruck Medical University,18
161,Federico II,Carmel Medical Center,18
162,Federico II,University Hospital Centre Zagreb,18
163,Federico II,University Hospital Brno,18
164,Federico II,Rechts der Isar Hospital,18
165,Federico II,University Medical Center Hamburg-Eppendorf,18
166,Federico II,Hospital de Cruces,18
167,Federico II,Medical University of South Carolina,18
168,Federico II,Centre Hospitalier Universitaire de Nice,18
169,Federico II,Hospital General Universitario de Alicante,18
170,Federico II,Hospital Universitario Miguel Servet,18
171,Federico II,McGill University Health Centre,18
172,Federico II,University Hospital Complex of Vigo,18
173,Federico II,European Institute of Oncology,18
174,Federico II,Bambino Gesù Children's Hospital,18
175,Federico II,University Medical Center Utrecht,18
176,Federico II,Thomayerova nemocnice,18
177,Federico II,Northwestern University,18
178,Federico II,Fakultní nemocnice Královské Vinohrady,18
179,Federico II,Mount Sinai Hospital,18
180,Federico II,Ospedale San Luigi Gonzaga,18
181,Federico II,Hôpitaux Universitaires Henri-Mondor,17
182,Federico II,University Hospital Ostrava,17
183,Federico II,CASA,17
184,Federico II,Bellvitge University Hospital,17
185,Federico II,Ege University,17
186,Federico II,University of Colorado Anschutz Medical Campus,17
187,Federico II,Azienda Ospedaliero Universitaria Maggiore della Carita,17
188,Federico II,Princess Alexandra Hospital,17
189,Federico II,Hospital de Santa Maria,17
190,Federico II,Azienda Ospedaliera San Camillo-Forlanini,17
191,Federico II,University Medical Center Freiburg,17
192,Federico II,Fondazione IRCCS Istituto Nazionale dei Tumori,17
193,Federico II,University of Florida,17
194,Federico II,Hospital Universitario Virgen de la Arrixaca,17
195,Federico II,Marqués de Valdecilla University Hospital,17
196,Federico II,Azienda Ospedaliera G. Brotzu,17
197,Federico II,Centre Hospitalier Lyon Sud,17
198,Federico II,Rush University Medical Center,17
199,Federico II,University of Alberta,17
200,Federico II,Hospital Sant Joan de Déu Barcelona,17
201,Federico II,Centre Hospitalier Universitaire de Nancy,17
202,Federico II,Monash Medical Centre,17
203,Federico II,Ottawa Hospital,17
204,Federico II,Ospedale San Bortolo,17
205,Federico II,Soroka Medical Center,17
206,Federico II,Royal Prince Alfred Hospital,17
207,Federico II,Hospital de São João,17
208,Federico II,University Hospital Cologne,17
209,Federico II,Luigi Sacco Hospital,16
210,Federico II,Hospital Universitario de la Princesa,16
211,Federico II,Helsinki University Hospital,16
212,Federico II,Takeda (United States),16
213,Federico II,Baylor College of Medicine,16
214,Federico II,Hospital de Base,16
215,Federico II,University Hospital of Heraklion,16
216,Federico II,Meyer Children's Hospital,16
217,Federico II,Shaare Zedek Medical Center,16
218,Federico II,Indiana University – Purdue University Indianapolis,16
219,Federico II,Hospital Universitario Son Espases,16
220,Federico II,Centre Hospitalier Universitaire Dijon Bourgogne,16
221,Federico II,Johns Hopkins University,16
222,Federico II,The University of Texas Health Science Center at Houston,16
223,Federico II,University of Miami,16
224,Federico II,Universitair Ziekenhuis Brussel,16
225,Federico II,LMU Klinikum,16
226,Federico II,Hôpital Saint-Antoine,16
227,Federico II,Royal Brisbane and Women's Hospital,16
228,Federico II,Università Campus Bio-Medico,16
229,Federico II,New York University,15
230,Federico II,Guy's and St Thomas' NHS Foundation Trust,15
231,Federico II,Military Medical Academy,15
232,Federico II,Kaplan Medical Center,15
233,Federico II,University Hospital of Zurich,15
234,Federico II,University of Iowa Hospitals and Clinics,15
235,Federico II,University of Pecs,15
236,Federico II,Ospedali Riuniti di Foggia,15
237,Federico II,University Hospital Bonn,15
238,Federico II,Hôpital d'Hautepierre,15
239,Federico II,University Hospital Olomouc,15
240,Federico II,University Hospital of Basel,15
241,Federico II,"University of California, San Diego",15
242,Federico II,Azienda Ospedaliera Sant'Andrea,15
243,Federico II,Mersin University,15
244,Federico II,Centre Hospitalier Régional Universitaire de Brest,15
245,Federico II,University of Louisville,15
246,Federico II,Montefiore Medical Center,15
247,Federico II,The Royal Free Hospital,14
248,Federico II,City Clinical Hospital,14
249,Federico II,Klinički centar Srbije,14
250,Federico II,Emory University,14
251,Federico II,Yale University,14
252,Federico II,Ospedale San Carlo,14
253,Federico II,Dokuz Eylül University,14
254,Federico II,Azienda Sanitaria Ospedaliera S.Croce e Carle Cuneo,14
255,Federico II,University of Michigan–Ann Arbor,14
256,Federico II,University of Kocaeli,14
257,Federico II,London Health Sciences Centre,14
258,Federico II,Queen Elizabeth Hospital,14
259,Federico II,Azienda Ospedaliera Nazionale SS. Antonio e Biagio e Cesare Arrigo,14
260,Federico II,Kantonsspital St. Gallen,14
261,Federico II,Hospital of Lithuanian University of Health Sciences Kaunas Clinics,14
262,Federico II,University of Bari Aldo Moro,14
263,Federico II,Istanbul University Cerrahpaşa,14
264,Federico II,Ospedale di Circolo e Fondazione Macchi,14
265,Federico II,Hôpital Claude Huriez,14
266,Federico II,"Ospedale ""Santa Maria delle Croci"" di Ravenna",14
267,Federico II,Michigan Medicine,14
268,Federico II,Icahn School of Medicine at Mount Sinai,14
269,Federico II,Hospital Universitario Virgen de las Nieves,14
270,Federico II,Azienda USL di Pescara,14
271,Federico II,Hôpital Nord,14
272,Federico II,Corporació Sanitària Parc Taulí,14
273,Federico II,Erasmus Hospital,14
274,Federico II,Medical College of Wisconsin,14
275,Federico II,"Istituto Nazionale Tumori IRCCS ""Fondazione G. Pascale""",14
276,Federico II,The Ohio State University,14
277,Federico II,Centre Hospitalier Universitaire de Nîmes,14
278,Federico II,AbbVie (United States),14
279,Federico II,Amsterdam UMC Location VUmc,14
280,Federico II,Saint Louis University,14
281,Federico II,University of Alberta Hospital,14
282,Federico II,Changhua Christian Hospital,14
283,Federico II,New York University Langone Medical Center,14
284,Federico II,Taichung Veterans General Hospital,14
285,Federico II,University Clinical Centre,14
286,Federico II,Cornell University,13
287,Federico II,King's College Hospital,13
288,Federico II,Onze Lieve Vrouwe Gasthuis,13
289,Federico II,Düsseldorf University Hospital,13
290,Federico II,Universitätsklinikum Aachen,13
291,Federico II,Ospedale Santa Maria Goretti,13
292,Federico II,Hospital Braga,13
293,Federico II,UniCancer Group,13
294,Federico II,The University of Texas MD Anderson Cancer Center,13
295,Federico II,Ospedale Niguarda Ca' Granda,13
296,Federico II,Hospital Regional Universitario de Málaga,13
297,Federico II,Duke University Hospital,13
298,Federico II,Tampere University Hospital,13
299,Federico II,Istituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori,13
300,Federico II,Maastricht University Medical Centre,13
301,Federico II,Prince of Wales Hospital,13
302,Federico II,Stanford University,13
303,Federico II,Azienda Ospedaliera San Giovanni Addolorata,13
304,Federico II,Amphia Ziekenhuis,13
305,Federico II,Hôpital de la Timone,13
306,Federico II,Klinički centar Niš,13
307,Federico II,University of Catania,13
308,Federico II,Dong-A University Hospital,13
309,Federico II,Hôpital Necker-Enfants Malades,13
310,Federico II,Centre Hospitalier Universitaire de Poitiers,13
311,Federico II,Kyushu University Hospital,13
312,Federico II,Graz University Hospital,12
313,Federico II,St. Anne´s University Hospital,12
314,Federico II,l'Hôpital Pontchaillou,12
315,Federico II,Emek Medical Center,12
316,Federico II,Vienna General Hospital,12
317,Federico II,Mackay Memorial Hospital,12
318,Federico II,Hôpital Purpan,12
319,Federico II,San Salvatore Hospital,12
320,Federico II,Flinders Medical Centre,12
321,Federico II,University of Southern California,12
322,Federico II,Zuyderland Medisch Centrum,12
323,Federico II,Hôpital Bichat-Claude-Bernard,12
324,Federico II,Centre Hospitalier Universitaire Amiens-Picardie,12
325,Federico II,St. Antonius Ziekenhuis,12
326,Federico II,Akdeniz University,12
327,Federico II,Centre Hospitalier Universitaire de Caen,12
328,Federico II,Northwell Health,12
329,Federico II,Centre Hospitalier de l’Université de Montréal,12
330,Federico II,Liverpool Hospital,12
331,Federico II,Azienda Ospedaliera Pugliese Ciaccio,12
332,Federico II,Clinical Centre of Kragujevac,12
333,Federico II,Tufts Medical Center,12
334,Federico II,University Hospital in Halle,12
335,Federico II,Henry Ford Health System,12
336,Federico II,West China Hospital of Sichuan University,12
337,Federico II,Azienda Ospedaliera S.Maria,12
338,Federico II,AZ Groeninge,12
339,Federico II,Hospital Universitario Dr José Eleuterio Gonzalez,12
340,Federico II,Uppsala University Hospital,12
341,Federico II,National Cancer Center,12
342,Federico II,Jiangsu Province Hospital,12
343,Federico II,Hôpital Avicenne,12
344,Federico II,University of Cagliari,12
345,Federico II,Seoul St. Mary's Hospital,12
346,Federico II,Centro Cardiologico Monzino,12
347,Federico II,Royal Hobart Hospital,12
348,Federico II,Barts Health NHS Trust,12
349,Federico II,Szpital Uniwersytecki w Krakowie,12
350,Federico II,Wake Forest Baptist Medical Center,12
351,Federico II,Azienda Ospedaliero Universitaria San Giovanni Battista,12
352,Federico II,Fiona Stanley Hospital,12
353,Federico II,University of Pennsylvania,12
354,Federico II,University of Nebraska Medical Center,12
355,Federico II,Queen Mary Hospital,12
356,Federico II,Centre Hospitalier Universitaire d'Angers,12
357,Federico II,Eli Lilly (United States),12
358,Federico II,"University of Maryland, Baltimore",11
359,Federico II,Universitätsklinikum Erlangen,11
360,Federico II,Hôpital Roger Salengro,11
361,Federico II,Box Hill Hospital,11
362,Federico II,ASST Grande Ospedale Metropolitano Niguarda,11
363,Federico II,Centre Léon Bérard,11
364,Federico II,Houston Methodist,11
365,Federico II,Fukuoka University Hospital,11
366,Federico II,NorthShore University HealthSystem,11
367,Federico II,Kangbuk Samsung Hospital,11
368,Federico II,Fakultní Nemocnice Plzeň,11
369,Federico II,University of Eastern Piedmont Amadeo Avogadro,11
370,Federico II,Ondokuz Mayıs University,11
371,Federico II,Hôpital Pellegrin,11
372,Federico II,John Radcliffe Hospital,11
373,Federico II,Cedars-Sinai Medical Center,11
374,Federico II,Hospital San Pedro de Alcántara,11
375,Federico II,Leiden University Medical Center,11
376,Federico II,Herlev Hospital,11
377,Federico II,Catholic University of the Sacred Heart,11
378,Federico II,Barzilai Medical Center,11
379,Federico II,Centre Hospitalier Universitaire de Toulouse,11
380,Federico II,Jena University Hospital,11
381,Federico II,Rhode Island Hospital,11
382,Federico II,Universitätsmedizin Göttingen,11
383,Federico II,Columbia University Irving Medical Center,11
384,Federico II,Beth Israel Deaconess Medical Center,11
385,Federico II,Wolfson Medical Center,11
386,Federico II,University of Parma,11
387,Federico II,Centre Hospitalier Universitaire de Clermont-Ferrand,11
388,Federico II,Baylor Scott & White Health,11
389,Federico II,University of Verona,11
390,Federico II,University of Rochester,11
391,Federico II,Haukeland University Hospital,11
392,Federico II,Assaf Harofeh Medical Center,11
393,Federico II,University Hospital Regensburg,11
394,Federico II,AZ Sint-Jan,11
395,Federico II,Ospedale Vito Fazzi,11
396,Federico II,Hôpital Cochin,11
397,Federico II,Phoenix Children's Hospital,11
398,Federico II,Hospital Infantil Universitario Niño Jesús,11
399,Federico II,Gazi University,11
400,Federico II,Westmead Hospital,11
401,Federico II,University Hospital Bratislava,11
402,Federico II,University of Utah,11
403,Federico II,Hospices Civils de Lyon,11
404,Federico II,Augusta University,11
405,Federico II,Ludwig-Maximilians-Universität München,11
406,Federico II,Amsterdam University Medical Centers,11
407,Federico II,Thomas Jefferson University,11
408,Federico II,Xiangya Hospital Central South University,11
409,Federico II,Catholic University of Korea,11
410,Federico II,Institut Gustave Roussy,11
411,Federico II,Assistance Publique - Hôpitaux de Paris,10
412,Federico II,Istituti di Ricovero e Cura a Carattere Scientifico,10
413,Federico II,University Medical Centre Mannheim,10
414,Federico II,Medisch Spectrum Twente,10
415,Federico II,Vancouver General Hospital,10
416,Federico II,AZ Sint-Lucas,10
417,Federico II,Spitalul Clinic Colentina,10
418,Federico II,Hospital de Basurto,10
419,Federico II,University Hospital of Ioannina,10
420,Federico II,Henan Cancer Hospital,10
421,Federico II,Centre Hospitalier du Mans,10
422,Federico II,Metropolitan Hospital,10
423,Federico II,Pfizer (United States),10
424,Federico II,Kyungpook National University Hospital,10
425,Federico II,Hospital General Universitario De Valencia,10
426,Federico II,Los Angeles Clinical Trials,10
427,Federico II,University of Washington,10
428,Federico II,State University of Campinas,10
429,Federico II,Ospedaliera di Piacenza,10
430,Federico II,University of Genoa,10
431,Federico II,Hospital da Senhora da Oliveira Guimarães,10
432,Federico II,Children's Hospital of Philadelphia,10
433,Federico II,Azienda Ospedaliera S.Giuseppe Moscati,10
434,Federico II,Ospedale Infermi di Rimini,10
435,Federico II,Centro di Riferimento Oncologico,10
436,Federico II,Medical University of Graz,10
437,Federico II,Centre Hospitalier Universitaire de Reims,10
438,Federico II,Centro di Riferimento Oncologico della Basilicata,10
439,Federico II,Hospital Universitario Infanta Leonor,10
440,Federico II,Hospital Universitario Fundación Jiménez Díaz,10
441,Federico II,Alberta Health Services,10
442,Federico II,St Vincent's Hospital,10
443,Federico II,Bnai Zion Medical Center,10
444,Federico II,Hospital Universitario de Gran Canaria Doctor Negrín,10
445,Federico II,Virginia Commonwealth University,10
446,Federico II,Kyung Hee University Medical Center,10
447,Federico II,Sir Ganga Ram Hospital,10
448,Federico II,Western Galilee Hospital,10
449,Federico II,Azienda Ospedaliero-Universitaria Policlinico - Vittorio Emanuele,10
450,Federico II,Centre Hospitalier Universitaire de Limoges,10
451,Federico II,Hôpital Lariboisière,10
452,Federico II,Victoria Hospital,10
453,Federico II,University of Virginia,10
454,Federico II,Dartmouth–Hitchcock Medical Center,10
455,Federico II,The University of Texas Health Science Center at San Antonio,10
456,Federico II,Centre Hospitalier Universitaire de Rennes,10
457,Federico II,Princess Margaret Cancer Centre,10
458,Federico II,Inje University Haeundae Paik Hospital,10
459,Federico II,Institutul Clinic Fundeni,10
460,Federico II,Cukurova University,10
461,Federico II,Ospedale A. Perrino,10
462,Federico II,Memorial Sloan Kettering Cancer Center,10
463,Federico II,IRCCS Policlinico San Donato,10
464,Federico II,Vilnius University,10
465,Federico II,Candiolo Cancer Institute,10
466,Federico II,Austin Health,10
467,Federico II,Laiko General Hospital of Athens,10
468,Federico II,Klinički Bolnički Centar Rijeka,10
469,Federico II,Catharina Ziekenhuis,10
470,Federico II,Tokai University Hospital,9
471,Federico II,Royal Perth Hospital,9
472,Federico II,Penn State Milton S. Hershey Medical Center,9
473,Federico II,Chi Mei Medical Center,9
474,Federico II,Complejo Hospitalario de Navarra,9
475,Federico II,Centro Oncologico Modenese - Dipartimento di Oncoematologia,9
476,Federico II,Klinički bolnički centar Osijek,9
477,Federico II,Markusovszky Egyetemi Oktatókórház,9
478,Federico II,Brigham and Women's Hospital,9
479,Federico II,University Hospital of Montpellier,9
480,Federico II,Fujita Health University Hospital,9
481,Federico II,Santa Maria Nuova Hospital,9
482,Federico II,Grand Charleroi Hospital,9
483,Federico II,Papageorgiou General Hospital,9
484,Federico II,Klinički Bolnički Centar Split,9
485,Federico II,Peking Union Medical College Hospital,9
486,Federico II,Juntendo University Hospital,9
487,Federico II,Manchester University NHS Foundation Trust,9
488,Federico II,Hospital Universitari Arnau de Vilanova,9
489,Federico II,University Hospital Dubrava,9
490,Federico II,Ziekenhuis Oost-Limburg,9
491,Federico II,National University Hospital,9
492,Federico II,North Estonia Medical Centre,9
493,Federico II,Tartu University Hospital,9
494,Federico II,Pusan National University Hospital,9
495,Federico II,Hospital Italiano La Plata,9
496,Federico II,National Academy of Medical Sciences of Ukraine,9
497,Federico II,Hôpital de la Conception,9
498,Federico II,Bretonneau Hospital,9
499,Federico II,University of Florida Health Science Center,9
500,Federico II,University of Pittsburgh Medical Center,9
501,Federico II,Tohoku University Hospital,9
502,Federico II,Schneider Children's Medical Center,9
503,Federico II,Hospital de Câncer de Barretos,9
504,Federico II,Roche (United States),9
505,Federico II,Christie Hospital NHS Foundation Trust,9
506,Federico II,Texas Oncology,9
507,Federico II,Hospital of the University of Pennsylvania,9
508,Federico II,Hospital Universitari de Girona Doctor Josep Trueta,9
509,Federico II,Ospedale San Camillo,9
510,Federico II,Hôpital Louis Pradel,9
511,Federico II,Kagawa Prefectural Central Hospital,9
512,Federico II,Niigata University Medical and Dental Hospital,9
513,Federico II,Editorial Projects in Education,9
514,Federico II,Cincinnati Children's Hospital Medical Center,9
515,Federico II,Tongji Hospital,9
516,Federico II,Children’s National Health System,9
517,Federico II,Hiroshima University Hospital,9
518,Federico II,Hôpital Rangueil,9
519,Federico II,La Maddalena,9
520,Federico II,Hospital Universitario de Canarias,9
521,Federico II,Jichi Medical University Hospital,9
522,Federico II,Ospedale dell' Angelo,9
523,Federico II,University Hospital of Lausanne,9
524,Federico II,Kurume University Hospital,9
525,Federico II,Ospedale SS. Annunziata,9
526,Federico II,Chiba University Hospital,9
527,Federico II,Kyoto University Hospital,9
528,Federico II,University Hospital of Geneva,9
529,Federico II,"University of California, Irvine",9
530,Federico II,Moores Comprehensive Cancer Center,9
531,Federico II,Leeds Teaching Hospitals NHS Trust,9
532,Federico II,Beaujon Hospital,9
533,Federico II,Amgen (United States),9
534,Federico II,Auckland City Hospital,9
535,Federico II,Acibadem City Clinic,9
536,Federico II,Hackensack University Medical Center,9
537,Federico II,Universitätsklinikum des Saarlandes,9
538,Federico II,Nepean Hospital,9
539,Federico II,University of Rochester Medical Center,9
540,Federico II,Kumamoto University Hospital,9
541,Federico II,Waikato Hospital,9
542,Federico II,Akershus University Hospital,9
543,Federico II,Rostov State Medical University,8
544,Federico II,Pauls Stradiņš Clinical University Hospital,8
545,Federico II,St Vincent's Hospital Sydney,8
546,Federico II,Peking University Cancer Hospital,8
547,Federico II,Azienda Ospedaliera Ospedali Riuniti Papardo Piemonte,8
548,Federico II,Children's Hospital of Pittsburgh,8
549,Federico II,Osaka University Hospital,8
550,Federico II,Hospital Universitario de Valme,8
551,Federico II,Centro Hospitalar de Vila Nova de Gaia,8
552,Federico II,Manchester Royal Infirmary,8
553,Federico II,Second Affiliated Hospital of Zhejiang University,8
554,Federico II,Arkansas Children's Hospital,8
555,Federico II,Apollo Hospitals,8
556,Federico II,Newcastle upon Tyne Hospitals NHS Foundation Trust,8
557,Federico II,Lurie Children's Hospital,8
558,Federico II,Royal North Shore Hospital,8
559,Federico II,First Pavlov State Medical University of St. Petersburg,8
560,Federico II,Istituti Ospitalieri di Cremona,8
561,Federico II,University Hospitals Birmingham NHS Foundation Trust,8
562,Federico II,Beijing Friendship Hospital,8
563,Federico II,Klinički centar Vojvodine,8
564,Federico II,National Health Service,8
565,Federico II,Otto-von-Guericke University Magdeburg,8
566,Federico II,University of Pittsburgh,8
567,Federico II,Salford Royal NHS Foundation Trust,8
568,Federico II,AZ Delta,8
569,Federico II,Second Xiangya Hospital of Central South University,8
570,Federico II,Concord Repatriation General Hospital,8
571,Federico II,First Affiliated Hospital of Xi'an Jiaotong University,8
572,Federico II,St Olav's University Hospital,8
573,Federico II,Derriford Hospital,8
574,Federico II,Hvidovre Hospital,8
575,Federico II,University of Iowa,8
576,Federico II,Yeungnam University Medical Center,8
577,Federico II,St Thomas' Hospital,8
578,Federico II,Mater Adult Hospital,8
579,Federico II,Jessa Hospital,8
580,Federico II,Jacksonville Center for Clinical Research,8
581,Federico II,Hokkaido University Hospital,8
582,Federico II,Nanjing Drum Tower Hospital,8
583,Federico II,University of Chicago Medical Center,8
584,Federico II,Elisabeth-TweeSteden Ziekenhuis,8
585,Federico II,Klinikum Klagenfurt,8
586,Federico II,University of Arizona,8
587,Federico II,St. Vincent's Hospital,8
588,Federico II,Herlev and Gentofte Hospital,8
589,Federico II,Nagasaki University Hospital,8
590,Federico II,Boston Children's Hospital,8
591,Federico II,Peking University Third Hospital,8
592,Federico II,Hospital General Universitario de Elche,8
593,Federico II,Third Affiliated Hospital of Harbin Medical University,8
594,Federico II,Wonju Severance Christian Hospital,8
595,Federico II,Koç University,8
596,Federico II,Universitätsmedizin Rostock,8
597,Federico II,Southwestern College - Kansas,8
598,Federico II,Kazan State Medical University,8
599,Federico II,Royal University Hospital,8
600,Federico II,Campus Bio Medico University Hospital,8
601,Federico II,Nagoya University Hospital,8
602,Federico II,Royal Hallamshire Hospital,8
603,Federico II,Queen Giovanna Hospital,8
604,Federico II,Hull Royal Infirmary,8
605,Federico II,Alexandra Hospital,8
606,Federico II,Kindai University Hospital,8
607,Federico II,Ente Ospedaliero Ospedali Galliera,8
