,Trial ID,End Date,Condition
58,NCT05582395,2025-03-31,"Cardiomyopathy, Hypertrophic"
59,NCT05753852,2025-03-31,Amyotrophic Lateral Sclerosis
60,NCT05767021,2025-03-31,Ulcerative Colitis
61,NCT05767021,2025-03-31,Ulcerative Colitis Chronic
62,NCT05398445,2025-03-30,Atopic Dermatitis
63,NCT02716116,2025-03-28,"Carcinoma, Non-Small-Cell Lung"
64,NCT01500551,2025-03-26,Juvenile Idiopathic Arthritis
65,NCT03362177,2025-03-23,Chemotherapy-induced Thrombocytopenia
66,NCT05630066,2025-03-21,Angelman Syndrome
67,NCT05321082,2025-03-19,"Lung Diseases, Interstitial"
68,NCT05714969,2025-03-15,Thrombotic Thrombocytopenic Purpura (TTP)
69,NCT05806372,2025-03-15,Cardiovascular Diseases
70,NCT05806372,2025-03-15,Pregnancy
71,NCT05198934,2025-03-12,Colorectal Cancer (CRC)
72,NCT03599245,2025-03-11,Multiple Sclerosis
73,NCT05717660,2025-03-11,Oligometastatic Hormone Sensitive Prostate Cancer
74,NCT03656718,2025-03-07,Neoplasms by Site
75,NCT05941871,2025-03-06,Overweight and Obesity
76,NCT04233879,2025-03-03,HIV-1 Infection
77,NCT04951609,2025-03-03,"Depressive Disorder, Major"
78,NCT02476916,2025-03-01,Pyruvate Kinase Deficiency
79,NCT03462212,2025-03-01,"Advanced (Stage IIIB-C-IV) Ovarian, Primary Peritoneal and Fallopian Tube Cancer"
80,NCT04250246,2025-03-01,Melanoma
81,NCT04250246,2025-03-01,Non Small Cell Lung Cancer
82,NCT04753749,2025-03-01,"Myocardial Infarction, Acute"
83,NCT04753749,2025-03-01,Coronary Artery Disease
84,NCT04854213,2025-03-01,Colorectal Cancer Metastatic
85,NCT04978493,2025-03-01,Crohn Disease
86,NCT05089734,2025-03-01,Non-Small Cell Lung Cancer
87,NCT05167188,2025-03-01,Graft Vs Host Disease
88,NCT05566665,2025-03-01,Acute Respiratory Distress Syndrome
89,NCT05566665,2025-03-01,Nosocomial Infection
90,NCT05566665,2025-03-01,Extracorporeal Membrane Oxygenation Complication
91,NCT05695950,2025-03-01,Dermatomyositis
92,NCT05704400,2025-03-01,Nephrotic Syndrome
93,NCT05912465,2025-03-01,Cachexia
94,NCT05912465,2025-03-01,Lung Neoplasm
95,NCT05937490,2025-03-01,Adenomyosis
96,NCT06007157,2025-03-01,Blood Pressure
97,NCT06007157,2025-03-01,Salt
98,NCT06007157,2025-03-01,Excess
99,NCT06007157,2025-03-01,Diabete Type 2
100,NCT06122727,2025-03-01,Knee Osteoarthritis
101,NCT03952585,2025-02-28,Basaloid Squamous Cell Carcinoma
102,NCT03952585,2025-02-28,Clinical Stage I HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8
103,NCT03952585,2025-02-28,Clinical Stage II HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8
104,NCT03952585,2025-02-28,Oropharyngeal Squamous Cell Carcinoma
105,NCT03952585,2025-02-28,Papillary Squamous Cell Carcinoma
106,NCT03952585,2025-02-28,Pathologic Stage I HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8
107,NCT03952585,2025-02-28,Pathologic Stage II HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8
108,NCT03952585,2025-02-28,Squamous Cell Carcinoma
109,NCT04392960,2025-02-28,AL Amyloidosis
110,NCT05109858,2025-02-28,Skin Toxicity
111,NCT05254002,2025-02-28,Type 2 Diabetes Mellitus
112,NCT05254002,2025-02-28,Chronic Kidney Disease
113,NCT05349721,2025-02-28,Amyotrophic Lateral Sclerosis
114,NCT05625399,2025-02-28,Melanoma
115,NCT05982587,2025-02-28,Survivorship
116,NCT05982587,2025-02-28,Late Effect
117,NCT06119542,2025-02-28,Spinal Fusion
118,NCT03709680,2025-02-25,Ewing Sarcoma
119,NCT03709680,2025-02-25,Solid Tumors
120,NCT03709680,2025-02-25,Rhabdoid Tumor
121,NCT03709680,2025-02-25,Rhabdomyosarcoma
122,NCT03709680,2025-02-25,Neuroblastoma
123,NCT03709680,2025-02-25,Medulloblastoma
124,NCT03709680,2025-02-25,Diffuse Intrinsic Pontine Glioma
125,NCT04871282,2025-02-25,Desmoid
126,NCT04871282,2025-02-25,Desmoid Tumor
127,NCT05217927,2025-02-25,Migraine
128,NCT05846997,2025-02-24,Breast Cancer
129,NCT04785651,2025-02-22,Monocompartimental Tibiofemoral Osteoarthritis
130,NCT04785651,2025-02-22,Osteoarthritis
131,NCT04294810,2025-02-21,Non-Small Cell Lung Cancer
132,NCT05213624,2025-02-21,"Kidney Disease, Chronic"
133,NCT02864992,2025-02-20,Advanced (Stage IIIB/IV) Non-small Cell Lung Cancer (NSCLC) With MET Exon 14 (METex14) Skipping Alterations or MET Amplification
134,NCT02864992,2025-02-20,Lung Adenocarcinoma Stage IIIB/IV
135,NCT04447755,2025-02-19,Relapsed or Refractory Solid Tumors
136,NCT04671433,2025-02-19,X-Linked Retinitis Pigmentosa
137,NCT02730299,2025-02-18,Hematological Malignancies
138,NCT02730299,2025-02-18,Acute Lymphoblastic Leukemia (ALL)
139,NCT02730299,2025-02-18,Acute Myelogenous Leukemia (AML)
140,NCT02730299,2025-02-18,Chronic Myelogenous Leukemia (CML)
141,NCT02730299,2025-02-18,Myelodysplastic Syndrome (MDS)
142,NCT02730299,2025-02-18,Lymphoma
143,NCT02730299,2025-02-18,Acute Leukemia
144,NCT05801562,2025-02-14,Bipolar Disorder
145,NCT05801562,2025-02-14,Unipolar Depression
146,NCT04790903,2025-02-12,"Lymphoma, Large B-Cell, Diffuse"
147,NCT05518123,2025-02-10,Migraine
148,NCT05166161,2025-02-07,Phenylketonuria
149,NCT03838744,2025-02-01,Advanced Soft Tissue Sarcoma
150,NCT04006405,2025-02-01,Clear Cell Renal Cell Carcinoma
151,NCT04298892,2025-02-01,Haematologic Disease
152,NCT04298892,2025-02-01,Haematological Malignancy
153,NCT05060016,2025-02-01,Relapsed/Refractory Small Cell Lung Cancer
154,NCT05079919,2025-02-01,Severe Hypertriglyceridemia
155,NCT05323734,2025-02-01,Tuberous Sclerosis Complex
156,NCT05360264,2025-02-01,Pancreatic Adenocarcinoma Metastatic
157,NCT05360264,2025-02-01,Pancreatic Adenocarcinoma Recurrent
158,NCT05381428,2025-02-01,"Pancreatitis, Acute"
159,NCT05383170,2025-02-01,Advanced Head and Neck Squamous Cell Carcinoma
160,NCT05383170,2025-02-01,Advanced Breast Cancer
161,NCT05383170,2025-02-01,Advanced Melanoma
162,NCT05524298,2025-02-01,"Low Grade Non-Hodgkin's Lymphoma, Adult"
163,NCT05811949,2025-02-01,Multiple Sclerosis
164,NCT05873842,2025-02-01,Trans-femoral TAVI With Calcified Ilio-femoral Arteries
165,NCT06154317,2025-02-01,Multiple Myeloma
166,ISRCTN49392136,2025-01-31,Cardiovascular disease (CVD) and small airway disease (SAD) in patients with chronic obstructive pulmonary disease (COPD)
167,NCT03319485,2025-01-31,Parkinson Disease
168,NCT03594110,2025-01-31,Chronic Kidney Disease
169,NCT03899792,2025-01-31,Medullary Thyroid Cancer
170,NCT03899792,2025-01-31,Infantile Myofibromatosis
171,NCT03899792,2025-01-31,Infantile Fibrosarcoma
172,NCT03899792,2025-01-31,Papillary Thyroid Cancer
173,NCT03899792,2025-01-31,Soft Tissue Sarcoma
174,NCT04743167,2025-01-31,Endometriosis
175,NCT04846868,2025-01-31,Schizophrenia
176,NCT04878133,2025-01-31,Acute Coronary Syndrome
177,NCT05267509,2025-01-31,"Glioma, Malignant"
178,NCT05280405,2025-01-31,Inflammatory Bowel Diseases
179,NCT05732857,2025-01-30,Cancer of Kidney
180,NCT04218084,2025-01-28,Sickle Cell Disease
181,NCT04264806,2025-01-28,Myelodysplastic Syndromes
182,NCT04264806,2025-01-28,"Leukemia, Myelomonocytic, Chronic"
183,NCT05327530,2025-01-23,Locally Advanced or Metastatic Urothelial Carcinoma
184,NCT05516758,2025-01-23,Rheumatoid Arthritis
185,NCT05516758,2025-01-23,Arthritis
186,NCT05516758,2025-01-23,Joint Diseases
187,NCT05516758,2025-01-23,Musculoskeletal Diseases
188,NCT05516758,2025-01-23,Rheumatic Diseases
189,NCT05516758,2025-01-23,Connective Tissue Diseases
190,NCT05516758,2025-01-23,Autoimmune Diseases
191,NCT05516758,2025-01-23,Immune System Diseases
192,NCT04893356,2025-01-20,Sarcoma
193,NCT03456063,2025-01-19,Non-Small-Cell Lung
194,NCT05806411,2025-01-18,Calcific Aortic Valve Diasease
195,NCT02360579,2025-01-15,Metastatic Melanoma
196,NCT04563091,2025-01-15,Hemodialysis Complication
197,NCT04563091,2025-01-15,Arrhythmias
198,NCT04563091,2025-01-15,Potassium Imbalance
199,NCT05070364,2025-01-15,Hepatitis Delta Virus
200,NCT05721313,2025-01-15,Periodontal Diseases
201,NCT05721313,2025-01-15,Furcation Defects
202,NCT05388669,2025-01-09,Advanced or Metastatic Non-small Cell Lung Cancer
203,NCT05310539,2025-01-08,Metastasis Lung
204,NCT05310539,2025-01-08,Bone Neoplasm
205,NCT06195930,2025-01-07,Chronic Heart Failure With Reduced Ejection Fraction
206,NCT03934372,2025-01-04,Acute Myeloid Leukemia
207,NCT03934372,2025-01-04,Accelerated Phase Chronic Myeloid Leukemia
208,NCT03934372,2025-01-04,Blast Phase Chronic Myeloid Leukemia
209,NCT03934372,2025-01-04,Chronic Phase Chronic Myeloid Leukemia
210,NCT03934372,2025-01-04,Acute Lymphoblastic Leukemia
211,NCT03934372,2025-01-04,Acute Lymphocytic Leukemia
212,NCT03934372,2025-01-04,Leukemia
213,NCT03934372,2025-01-04,Lymphoma
214,NCT03934372,2025-01-04,Solid Tumors
215,NCT05027802,2025-01-03,Fibrodysplasia Ossificans Progressiva (FOP)
216,NCT05937802,2025-01-02,Progressive Multiple Sclerosis
217,NCT01797055,2025-01-01,Congenital Atransferrinemia
218,NCT02021006,2025-01-01,Vesicoureteral Reflux
219,NCT02021006,2025-01-01,"Renal Hypodysplasia, Nonsyndromic, 1"
220,NCT02021006,2025-01-01,Chronic Kidney Disease
221,NCT02932618,2025-01-01,Von Willebrand Disease
222,NCT03041337,2025-01-01,Right Ventricular Dysfunction
223,NCT03051906,2025-01-01,Head and Neck Neoplasms
224,NCT03455504,2025-01-01,Acute Myeloid Leukemia
225,NCT03880084,2025-01-01,Respiratory Failure
226,NCT03880084,2025-01-01,Delirium
227,NCT03880084,2025-01-01,"Agitation,Psychomotor"
228,NCT03880084,2025-01-01,Pain
229,NCT03880084,2025-01-01,Dyspnea
230,NCT03880084,2025-01-01,Mechanical Ventilation Complication
231,NCT04031339,2025-01-01,Thyroid Neoplasms
232,NCT04585334,2025-01-01,"Low Back Pain, Mechanical"
233,NCT04679064,2025-01-01,Ovarian Cancer
234,NCT04691635,2025-01-01,Progressive Supranuclear Palsy
235,NCT04762069,2025-01-01,"Glioblastoma Multiforme, Adult"
236,NCT04825080,2025-01-01,Asymptomatic Carotid Artery Stenosis
237,NCT04867928,2025-01-01,Acute Myeloid Leukemia
238,NCT04867928,2025-01-01,"Acute Myeloid Leukemia, in Relapse"
239,NCT04867928,2025-01-01,NPM1 Mutation
240,NCT04907123,2025-01-01,Heart Failure
241,NCT05036135,2025-01-01,Pulmonary Arterial Hypertension
242,NCT05098717,2025-01-01,Idiopathic Pulmonary Fibrosis
243,NCT05098717,2025-01-01,Mechanical Ventilation Pressure High
244,NCT05127226,2025-01-01,Angelman Syndrome
245,NCT05171075,2025-01-01,Venous Thromboembolism
246,NCT05171075,2025-01-01,Deep Venous Thrombosis
247,NCT05171075,2025-01-01,Pulmonary Embolism
248,NCT05192863,2025-01-01,Crohn's Disease
249,NCT05213988,2025-01-01,Glucose Metabolism Disorders
250,NCT05315570,2025-01-01,Head and Neck Cancer
251,NCT05315570,2025-01-01,Survivorship
252,NCT05315570,2025-01-01,Quality of Life
253,NCT05508074,2025-01-01,Amyotrophic Lateral Sclerosis
254,NCT05508074,2025-01-01,ALS
255,NCT05536297,2025-01-01,Geographic Atrophy
256,NCT05536297,2025-01-01,Macular Degeneration
257,NCT06090617,2025-01-01,Hyperaldosteronism
258,NCT06090617,2025-01-01,Hypertension
259,NCT06090617,2025-01-01,Aldosterone-producing Adenoma
260,NCT06090617,2025-01-01,Aldosteronism
261,NCT06090617,2025-01-01,Aldosterone Disorder
262,NCT06090617,2025-01-01,Essential Hypertension
263,NCT06090617,2025-01-01,Bilateral Adrenal Hyperplasia
264,NCT06090617,2025-01-01,Conn Adenoma
265,NCT06100120,2025-01-01,Dental Implants
266,NCT06122285,2025-01-01,Hepatitis D
267,NCT01860456,2024-12-31,Chronic Myeloid Leukemia
268,NCT02048813,2024-12-31,Anemia
269,NCT02048813,2024-12-31,Chronic Lymphocytic Leukemia
270,NCT02048813,2024-12-31,Small Lymphocytic Lymphoma
271,NCT02158858,2024-12-31,Myelofibrosis
272,NCT02158858,2024-12-31,"Leukemia, Myelocytic, Acute"
273,NCT02158858,2024-12-31,Myelodysplastic/Myeloproliferative Neoplasm
274,NCT02158858,2024-12-31,Myelodysplastic Syndrome (MDS)
275,NCT02158858,2024-12-31,Preleukemia
276,NCT02158858,2024-12-31,Primary Myelofibrosis
277,NCT02158858,2024-12-31,Myeloproliferative Disorders
278,NCT02158858,2024-12-31,Bone Marrow Disease
279,NCT02158858,2024-12-31,Hematological Disease
280,NCT02158858,2024-12-31,Precancerous Conditions
281,NCT02158858,2024-12-31,Neoplasms
282,NCT02158858,2024-12-31,Leukemia
283,NCT02158858,2024-12-31,Neoplasms by Histologic Type
284,NCT02158858,2024-12-31,Essential Thrombocytosis
285,NCT02912949,2024-12-31,Solid Tumours Harboring NRG1 Fusion
286,NCT02912949,2024-12-31,NSCLC Harboring NRG1 Fusion
287,NCT02912949,2024-12-31,Pancreatic Cancer Harboring NRG1 Fusion
288,NCT02912949,2024-12-31,NRG1 Fusion
289,NCT03260894,2024-12-31,Renal Cell Carcinoma (RCC)
290,NCT03283813,2024-12-31,"Obesity, Childhood"
291,NCT03283813,2024-12-31,Insulin Resistance
292,NCT03283813,2024-12-31,Zinc Deficiency
293,NCT03283813,2024-12-31,Inositol
294,NCT03431350,2024-12-31,"Prostatic Neoplasms, Castration-Resistant"
295,NCT03573882,2024-12-31,Sickle Cell Disease
296,NCT03579485,2024-12-31,Hiv
297,NCT03746470,2024-12-31,"Complete Tear, Knee, Anterior Cruciate Ligament"
298,NCT03777657,2024-12-31,"Gastric, or Gastroesophageal Junction Adenocarcinoma"
299,NCT03786081,2024-12-31,Cervical Cancer
300,NCT03827538,2024-12-31,Diaphragm
301,NCT03850795,2024-12-31,Prostate Cancer Metastatic
302,NCT03850795,2024-12-31,Castration-resistant Prostate Cancer
303,NCT03905707,2024-12-31,Short Bowel Syndrome
304,NCT03972033,2024-12-31,Eye Movement Desensitization and Reprocessing
305,NCT03972033,2024-12-31,Cognitive Behavioral Therapy
306,NCT03972033,2024-12-31,Neurobiological Processing
307,NCT03972033,2024-12-31,Depression
308,NCT03972033,2024-12-31,Functional Magnetic Resonance Imaging
309,NCT03972033,2024-12-31,High Definition Electroencefalography
310,NCT03972033,2024-12-31,Heart Rate Variability
311,NCT04049890,2024-12-31,Adjustment Reaction
312,NCT04274972,2024-12-31,Microbial Colonization
313,NCT04274972,2024-12-31,Pancreas Cancer
314,NCT04274972,2024-12-31,Pancreas Infection
315,NCT04274972,2024-12-31,Pancreas
316,NCT04274972,2024-12-31,Fistula
317,NCT04279847,2024-12-31,Myelofibrosis
318,NCT04279847,2024-12-31,Myelodysplastic Syndrome
319,NCT04279847,2024-12-31,Myelodysplastic/Myeloproliferative Neoplasm Overlap Syndrome
320,NCT04279847,2024-12-31,Myeloproliferative Neoplasm
321,NCT04279847,2024-12-31,Relapsed or Refractory Primary Myelofibrosis
322,NCT04279847,2024-12-31,"Secondary Myelofibrosis (Post-Polycythemia Vera Myelofibrosis, Post-Essential Thrombocythemia Myelofibrosis)"
323,NCT04279847,2024-12-31,ET (Essential Thrombocythemia)
324,NCT04305548,2024-12-31,Mesenchymal Chondrosarcoma
325,NCT04423237,2024-12-31,Iron Overload
326,NCT04579952,2024-12-31,"Pain, Chronic"
327,NCT04593810,2024-12-31,Ventilator-free Days
328,NCT04593810,2024-12-31,Quality of Breathing
329,NCT04614415,2024-12-31,Hypertrophic Scar
330,NCT04650984,2024-12-31,Soft Tissue Sarcoma
331,NCT04670172,2024-12-31,Chronic Rhinosinusitis (Diagnosis)
332,NCT04689009,2024-12-31,Venous Leg Ulcer
333,NCT04689009,2024-12-31,Mixed Leg Ulcer
334,NCT04730622,2024-12-31,Osteoporotic Fracture of Femur
335,NCT04730622,2024-12-31,"Osteoarthritis, Hip"
336,NCT04735289,2024-12-31,Osteosarcoma
337,NCT04735289,2024-12-31,Ewing Sarcoma
338,NCT04844866,2024-12-31,Diffuse Large B-cell Lymphoma
339,NCT04873388,2024-12-31,Covid19
340,NCT04873388,2024-12-31,C-reactive Protein
341,NCT04873388,2024-12-31,Procalcitonin
342,NCT04873388,2024-12-31,D-dimer
343,NCT04881851,2024-12-31,Polycystic Ovary Syndrome
344,NCT04915326,2024-12-31,Rectal Cancer Stage T1-T2
345,NCT04915326,2024-12-31,Rectal Cancer Nodal Metastasis
346,NCT04917263,2024-12-31,Rectal Cancer
347,NCT04997980,2024-12-31,Out-Of-Hospital Cardiac Arrest
348,NCT05041257,2024-12-31,Ovarian Cancer
349,NCT05041257,2024-12-31,Peritoneal Cancer
350,NCT05041257,2024-12-31,Fallopian Tube Cancer
351,NCT05051735,2024-12-31,Cancer Pain
352,NCT05051735,2024-12-31,Cancer
353,NCT05164796,2024-12-31,Coronary Artery Occlusion
354,NCT05223920,2024-12-31,"Thrombocythemia, Essential"
355,NCT05223920,2024-12-31,Primary Myelofibrosis
356,NCT05260021,2024-12-31,Type2 Diabetes
357,NCT05260021,2024-12-31,Diabetes Mellitus
358,NCT05260021,2024-12-31,"Diabetes Mellitus, Type 2"
359,NCT05260021,2024-12-31,T2D
360,NCT05260021,2024-12-31,T2DM (Type 2 Diabetes Mellitus)
361,NCT05260021,2024-12-31,Glucose Metabolism Disorders
362,NCT05260021,2024-12-31,Endocrine System Diseases
363,NCT05260021,2024-12-31,Metabolic Disease
364,NCT05282238,2024-12-31,Respiratory Failure
365,NCT05282316,2024-12-31,Metabolic Syndrome
366,NCT05300672,2024-12-31,Intracranial Hemorrhages
367,NCT05300672,2024-12-31,Ischemic Stroke
368,NCT05320250,2024-12-31,Parkinson's Disease and Parkinsonism
369,NCT05340998,2024-12-31,Coronary Angiography
370,NCT05340998,2024-12-31,Percutaneous Coronary Intervention
371,NCT05419765,2024-12-31,Non-Alcoholic Fatty Liver Disease
372,NCT05528029,2024-12-31,Block Complete Heart
373,NCT05528029,2024-12-31,Atrial Fibrillation
374,NCT05542147,2024-12-31,Type 2 Diabetes
375,NCT05542147,2024-12-31,Cardiovascular Diseases
376,NCT05542147,2024-12-31,Pharmacogenomic Drug Interaction
377,NCT05554991,2024-12-31,Colic
378,NCT05613985,2024-12-31,Diabetic Foot Infection
379,NCT05715970,2024-12-31,Celiac Disease
380,NCT05726500,2024-12-31,Abdominal Sepsis
381,NCT05726500,2024-12-31,Acute Respiratory Failure
382,NCT05726500,2024-12-31,Ventilation Therapy
383,NCT05726500,2024-12-31,Complications
384,NCT05726500,2024-12-31,Emergencies
385,NCT05726513,2024-12-31,Acute Respiratory Failure
386,NCT05726513,2024-12-31,Mechanical Ventilation Complication
387,NCT05726513,2024-12-31,Ventilator-Induced Lung Injury
388,NCT05726513,2024-12-31,Weaning Failure
389,NCT05772312,2024-12-31,"Sarcoma, Ewing"
390,NCT05772312,2024-12-31,Osteosarcoma
391,NCT05772312,2024-12-31,Bone Tumor
392,NCT05789667,2024-12-31,Differentiated Thyroid Cancer
393,NCT05789667,2024-12-31,Gender
394,NCT05806684,2024-12-31,ROP
395,NCT05806684,2024-12-31,"Jaundice, Neonatal"
396,NCT05806684,2024-12-31,Premature
397,NCT05806684,2024-12-31,Very Low Birth Weight Infant
398,NCT05806684,2024-12-31,ELBW - Extremely Low Birth Weight Infant
399,NCT05806684,2024-12-31,Blindness
400,NCT05807516,2024-12-31,Breast Neoplasms
401,NCT05851222,2024-12-31,Acute Kidney Injury
402,NCT05851222,2024-12-31,Drug Use
403,NCT05851222,2024-12-31,Drug Interaction
404,NCT05851222,2024-12-31,Drug Toxicity
405,NCT05851222,2024-12-31,Drug-Induced Nephropathy
406,NCT05851222,2024-12-31,Machine Learning
407,NCT05851222,2024-12-31,Newborn Morbidity
408,NCT05851222,2024-12-31,Premature Birth
409,NCT05857670,2024-12-31,Breast Cancer
410,NCT05857670,2024-12-31,Genetic Predisposition
411,NCT05867160,2024-12-31,Epilepsy
412,NCT05879328,2024-12-31,Hepatocellular Carcinoma
413,NCT05880407,2024-12-31,Hallux Valgus
414,NCT05904938,2024-12-31,Chronic Diarrhoea of Infants and/or Young Children
415,NCT05991258,2024-12-31,Acute Respiratory Failure
416,NCT05991258,2024-12-31,Mechanical Ventilation Complication
417,NCT05991258,2024-12-31,Ventilator-Induced Lung Injury
418,NCT05999773,2024-12-31,Ascites Hepatic
419,NCT05999773,2024-12-31,"Cirrhosis, Liver"
420,NCT05999773,2024-12-31,Diabete Type 2
421,NCT06019208,2024-12-31,Sickle Cell Disorders
422,NCT06081270,2024-12-31,Lung Cancer
423,NCT06119269,2024-12-31,"Chronic Myeloid Leukemia, Chronic Phase"
424,NCT06180239,2024-12-31,Non-small Cell Lung Cancer Stage I
425,NCT06180239,2024-12-31,Surgery
426,NCT03615326,2024-12-30,Gastric Neoplasms
427,NCT03615326,2024-12-30,Gastroesophageal Junction Adenocarcinoma
428,NCT03707743,2024-12-30,Aortic Dissection
429,NCT04299906,2024-12-30,Peripheral Arterial Disease
430,NCT04299906,2024-12-30,Iliac Artery Stenosis
431,NCT04299906,2024-12-30,Common Femoral Artery Stenosis
432,NCT04398524,2024-12-30,Squamous Cell Carcinoma of the Oropharynx
433,NCT04759105,2024-12-30,Intervertebral Disc Degeneration
434,NCT04759105,2024-12-30,Chronic Low-back Pain
435,NCT05205148,2024-12-30,Coronary Artery Disease
436,NCT05205148,2024-12-30,Coronary Stenosis
437,NCT05205148,2024-12-30,Stent Restenosis
438,NCT05205148,2024-12-30,Left Main Coronary Artery Disease
439,NCT05205148,2024-12-30,Chronic Total Occlusion of Coronary Artery
440,NCT05305040,2024-12-30,Adenovirus Infection
441,NCT05305040,2024-12-30,BK Virus Infection
442,NCT05305040,2024-12-30,Cytomegalovirus Infections
443,NCT05305040,2024-12-30,Epstein-Barr Virus Infections
444,NCT05305040,2024-12-30,Human Herpes Virus-6 Infection
445,NCT05305040,2024-12-30,JC Virus Infection
446,NCT05453084,2024-12-30,Irritable Bowel Syndrome (IBS)
447,ISRCTN26168155,2024-12-27,Multiple myeloma
448,NCT03032172,2024-12-27,Spinal Muscular Atrophy
449,NCT05689476,2024-12-27,Work of Breathing
450,NCT05689476,2024-12-27,Lung Transplantation
451,NCT05689476,2024-12-27,Neurally Adjusted Ventilatory Assist
452,NCT05689476,2024-12-27,Ventilator-Induced Lung Injury
453,NCT06137833,2024-12-27,Fatigue
454,NCT06137833,2024-12-27,Breast Cancer
455,NCT05446870,2024-12-26,High-grade Serous Ovarian Carcinoma
456,NCT05446870,2024-12-26,Ovarian Carcinoma
457,NCT04697368,2024-12-24,Stroke
458,NCT04697368,2024-12-24,Upper Extremity Paresis
459,NCT04199104,2024-12-23,Head and Neck Squamous Cell Carcinoma
460,NCT04586231,2024-12-23,"Carcinoma, Renal Cell"
461,NCT05736263,2024-12-22,Type 1 Diabetes
462,NCT05736263,2024-12-22,Exercise
463,NCT03797326,2024-12-20,Advanced Solid Tumors
464,NCT03797326,2024-12-20,Triple Negative Breast Cancer
465,NCT03797326,2024-12-20,Ovarian Cancer
466,NCT03797326,2024-12-20,Gastric Cancer
467,NCT03797326,2024-12-20,Colorectal Cancer
468,NCT03797326,2024-12-20,Glioblastoma
469,NCT03797326,2024-12-20,Biliary Tract Cancers
470,NCT03797326,2024-12-20,Pancreatic Cancer
471,NCT03915951,2024-12-16,Non-small Cell Lung Cancer
472,NCT04148911,2024-12-15,Triple-Negative Breast Cancer
